,2020-02-13,1,0.0,1.0,0.0.1,2020-01-29,1,0.0,1.0,0.0.1
0,2020-02-14,3,0.47700000000000004,3.0,0.47700000000000004,2020-02-25,2.0,0.301,1.0,0.0
1,2020-02-15,11,1.041,11.0,1.041,2020-02-26,3.0,0.47700000000000004,2.0,0.301
2,2020-02-16,15,1.176,15.0,1.176,2020-02-27,5.0,0.6990000000000001,4.0,0.602
3,2020-02-18,18,1.255,18.0,1.255,2020-02-28,7.0,0.845,6.0,0.778
4,2020-02-19,21,1.3219999999999998,21.0,1.3219999999999998,2020-03-02,9.0,0.9540000000000001,8.0,0.903
5,2020-02-20,22,1.3419999999999999,21.0,1.3219999999999998,2020-03-03,11.0,1.041,9.0,0.9540000000000001
6,2020-02-21,25,1.3980000000000001,22.0,1.3419999999999999,2020-03-04,20.0,1.301,17.0,1.23
7,2020-02-22,27,1.431,16.0,1.204,2020-03-05,22.0,1.3419999999999999,17.0,1.23
8,2020-02-24,32,1.505,17.0,1.23,2020-03-06,35.0,1.544,28.0,1.4469999999999998
9,2020-02-26,35,1.544,14.0,1.146,2020-03-07,45.0,1.653,38.0,1.58
10,2020-02-28,36,1.556,11.0,1.041,2020-03-08,59.0,1.771,52.0,1.716
11,2020-02-29,38,1.58,11.0,1.041,2020-03-10,76.0,1.881,65.0,1.8130000000000002
12,2020-03-01,40,1.6019999999999999,13.0,1.114,2020-03-11,83.0,1.919,63.0,1.7990000000000002
13,2020-03-03,41,1.6130000000000002,9.0,0.9540000000000001,2020-03-12,91.0,1.959,69.0,1.839
14,2020-03-04,45,1.653,10.0,1.0,2020-03-13,95.0,1.9780000000000002,60.0,1.778
15,2020-03-05,53,1.724,18.0,1.255,2020-03-14,105.0,2.021,60.0,1.778
16,2020-03-06,59,1.771,23.0,1.3619999999999999,2020-03-15,109.0,2.037,50.0,1.699
17,2020-03-07,64,1.806,26.0,1.415,2020-03-16,111.0,2.045,52.0,1.716
18,2020-03-10,67,1.8259999999999998,26.0,1.415,2020-03-17,115.0,2.061,39.0,1.591
19,2020-03-11,73,1.8630000000000002,28.0,1.4469999999999998,2020-03-18,120.0,2.079,37.0,1.568
20,2020-03-12,75,1.875,22.0,1.3419999999999999,2020-03-19,122.0,2.086,31.0,1.4909999999999999
21,2020-03-13,77,1.886,18.0,1.255,2020-03-20,127.0,2.104,32.0,1.505
22,2020-03-14,86,1.9340000000000002,22.0,1.3419999999999999,2020-03-21,129.0,2.1109999999999998,24.0,1.38
23,2020-03-15,90,1.954,26.0,1.415,2020-03-22,135.0,2.13,26.0,1.415
24,2020-03-17,102,2.009,35.0,1.544,2020-03-23,138.0,2.14,27.0,1.431
25,2020-03-18,109,2.037,36.0,1.556,2020-03-24,146.0,2.164,31.0,1.4909999999999999
26,2020-03-19,117,2.068,42.0,1.6230000000000002,2020-03-25,152.0,2.182,32.0,1.505
27,2020-03-20,128,2.1069999999999998,51.0,1.7080000000000002,2020-03-26,159.0,2.201,37.0,1.568
28,2020-03-21,137,2.137,51.0,1.7080000000000002,2020-03-27,179.0,2.253,52.0,1.716
29,2020-03-22,140,2.146,50.0,1.699,2020-03-28,193.0,2.286,64.0,1.806
30,2020-03-23,157,2.1959999999999997,67.0,1.8259999999999998,2020-03-29,210.0,2.322,75.0,1.875
31,2020-03-24,174,2.241,72.0,1.857,2020-03-30,219.0,2.34,81.0,1.9080000000000001
32,2020-03-25,217,2.336,108.0,2.033,2020-03-31,247.0,2.3930000000000002,101.0,2.004
33,2020-03-26,242,2.384,125.0,2.097,2020-04-01,279.0,2.4459999999999997,127.0,2.104
34,2020-03-27,286,2.456,158.0,2.199,2020-04-02,312.0,2.494,153.0,2.185
35,2020-03-28,350,2.544,213.0,2.3280000000000003,2020-04-03,346.0,2.539,167.0,2.2230000000000003
36,2020-03-29,420,2.623,280.0,2.447,2020-04-04,387.0,2.588,194.0,2.2880000000000003
37,2020-03-30,434,2.637,277.0,2.4419999999999997,2020-04-05,409.0,2.612,199.0,2.299
38,2020-03-31,515,2.7119999999999997,341.0,2.533,2020-04-06,429.0,2.6319999999999997,210.0,2.322
39,2020-04-01,581,2.764,364.0,2.5610000000000004,,,,,
40,2020-04-02,682,2.8339999999999996,440.0,2.6430000000000002,,,,,
41,2020-04-03,773,2.888,487.0,2.688,,,,,
42,2020-04-04,892,2.95,542.0,2.734,,,,,
43,2020-04-05,1036,3.015,616.0,2.79,,,,,
44,2020-04-06,1119,3.049,685.0,2.8360000000000003,,,,,
