,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-10,1,0.0,1.0,0.0
2020-02-16,2,0.301,2.0,0.301
2020-02-20,3,0.477,2.0,0.301
2020-02-21,4,0.602,3.0,0.477
2020-03-05,6,0.778,2.0,0.301
2020-03-06,9,0.954,5.0,0.699
2020-03-08,10,1.0,6.0,0.778
2020-03-10,15,1.176,11.0,1.041
2020-03-11,17,1.23,13.0,1.114
2020-03-12,23,1.362,17.0,1.23
2020-03-13,30,1.477,21.0,1.322
2020-03-14,32,1.505,23.0,1.362
2020-03-17,37,1.568,22.0,1.342
2020-03-18,38,1.58,21.0,1.322
2020-03-19,42,1.623,19.0,1.279
2020-03-20,45,1.653,15.0,1.176
2020-03-21,53,1.724,21.0,1.322
2020-03-22,55,1.74,23.0,1.362
2020-03-23,56,1.748,24.0,1.38
2020-03-24,63,1.799,26.0,1.415
2020-03-25,64,1.806,26.0,1.415
2020-03-26,76,1.881,34.0,1.531
2020-03-27,82,1.914,37.0,1.568
2020-03-28,88,1.944,35.0,1.544
2020-03-29,92,1.964,37.0,1.568
2020-03-30,95,1.978,39.0,1.591
2020-03-31,109,2.037,46.0,1.663
2020-04-01,113,2.053,49.0,1.69
2020-04-02,130,2.114,54.0,1.732
2020-04-03,146,2.164,64.0,1.806
2020-04-04,172,2.236,84.0,1.924
2020-04-05,189,2.276,97.0,1.987
