,cumsum,log10_cumsum,rolling,log10_rolling
2020-01-29,1,0.0,1.0,0.0
2020-02-25,2,0.301,1.0,0.0
2020-02-26,3,0.477,2.0,0.301
2020-02-27,5,0.699,4.0,0.602
2020-02-28,7,0.845,6.0,0.778
2020-03-02,9,0.954,8.0,0.903
2020-03-03,11,1.041,9.0,0.954
2020-03-04,20,1.301,17.0,1.23
2020-03-05,22,1.342,17.0,1.23
2020-03-06,35,1.544,28.0,1.447
2020-03-07,45,1.653,38.0,1.58
2020-03-08,59,1.771,52.0,1.716
2020-03-10,76,1.881,65.0,1.813
2020-03-11,83,1.919,63.0,1.799
2020-03-12,91,1.959,69.0,1.839
2020-03-13,95,1.978,60.0,1.778
2020-03-14,105,2.021,60.0,1.778
2020-03-15,109,2.037,50.0,1.699
2020-03-16,111,2.045,52.0,1.716
2020-03-17,115,2.061,39.0,1.591
2020-03-18,120,2.079,37.0,1.568
2020-03-19,122,2.086,31.0,1.491
2020-03-20,127,2.104,32.0,1.505
2020-03-21,129,2.111,24.0,1.38
2020-03-22,135,2.13,26.0,1.415
2020-03-23,138,2.14,27.0,1.431
2020-03-24,146,2.164,31.0,1.491
2020-03-25,152,2.182,32.0,1.505
2020-03-26,159,2.201,37.0,1.568
2020-03-27,179,2.253,52.0,1.716
2020-03-28,193,2.286,64.0,1.806
2020-03-29,210,2.322,75.0,1.875
2020-03-30,219,2.34,81.0,1.908
2020-03-31,247,2.393,101.0,2.004
2020-04-01,279,2.446,127.0,2.104
2020-04-02,312,2.494,153.0,2.185
2020-04-03,346,2.539,167.0,2.223
2020-04-04,387,2.588,194.0,2.288
2020-04-05,409,2.612,199.0,2.299
2020-04-06,429,2.632,210.0,2.322
2020-04-07,482,2.683,235.0,2.371
2020-04-08,526,2.721,247.0,2.393
