,cumsum,log10_cumsum,rolling,log10_rolling
2020-01-30,1,0.0,1.0,0.0
2020-02-04,2,0.301,1.0,0.0
2020-03-03,3,0.477,1.0,0.0
2020-03-04,5,0.699,1.5,0.176
2020-03-06,6,0.778,1.3333333333333333,0.125
2020-03-07,7,0.845,1.25,0.097
2020-03-09,11,1.041,1.8,0.255
2020-03-10,12,1.079,1.8,0.255
2020-03-11,14,1.146,1.8,0.255
2020-03-12,16,1.204,1.8333333333333333,0.263
2020-03-17,18,1.255,2.0,0.301
2020-03-18,20,1.301,2.0,0.301
2020-03-20,21,1.322,1.6666666666666667,0.222
2020-03-21,22,1.342,1.5,0.176
2020-03-22,23,1.362,1.4,0.146
2020-03-23,24,1.38,1.3333333333333333,0.125
2020-03-24,26,1.415,1.3333333333333333,0.125
2020-03-25,30,1.477,1.6666666666666667,0.222
2020-03-26,33,1.519,1.8571428571428572,0.269
2020-03-28,37,1.568,2.5,0.398
2020-03-29,44,1.643,3.5,0.544
2020-03-30,64,1.806,6.666666666666667,0.824
2020-03-31,67,1.826,6.833333333333333,0.835
2020-04-01,74,1.869,7.333333333333333,0.865
2020-04-02,86,1.934,8.833333333333334,0.946
2020-04-03,104,2.017,10.142857142857142,1.006
2020-04-04,117,2.068,11.428571428571429,1.058
2020-04-05,122,2.086,11.142857142857142,1.047
2020-04-06,130,2.114,9.428571428571429,0.974
2020-04-07,146,2.164,11.285714285714286,1.053
2020-04-08,154,2.188,11.428571428571429,1.058
2020-04-09,165,2.217,11.285714285714286,1.053
2020-04-10,173,2.238,9.857142857142858,0.994
