,cumsum,log10_cumsum,rolling,log10_rolling
2020-01-28,1,0.0,1.0,0.0
2020-03-06,4,0.602,3.0,0.477
2020-03-09,6,0.778,2.5,0.398
2020-03-10,7,0.845,2.0,0.301
2020-03-11,8,0.903,1.75,0.243
2020-03-22,9,0.954,1.0,0.0
2020-03-25,10,1.0,1.0,0.0
2020-03-28,12,1.079,1.3333333333333333,0.125
2020-03-31,14,1.146,1.6666666666666667,0.222
2020-04-01,18,1.255,2.6666666666666665,0.426
2020-04-02,21,1.322,2.75,0.439
2020-04-03,22,1.342,2.4,0.38
2020-04-04,25,1.398,2.6,0.415
2020-04-05,27,1.431,2.5,0.398
2020-04-06,28,1.447,2.2857142857142856,0.359
2020-04-07,29,1.462,2.142857142857143,0.331
2020-04-08,31,1.491,1.8571428571428572,0.269
2020-04-09,35,1.544,2.0,0.301
2020-04-10,37,1.568,2.142857142857143,0.331
