,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-06,1,0.0,1.0,0.0
2020-03-07,2,0.301,1.0,0.0
2020-03-24,4,0.602,2.0,0.301
2020-03-30,5,0.699,1.5,0.176
2020-03-31,6,0.778,1.0,0.0
2020-04-01,9,0.954,1.6666666666666667,0.222
2020-04-03,11,1.041,1.75,0.243
2020-04-04,14,1.146,2.0,0.301
2020-04-05,15,1.176,1.8333333333333333,0.263
2020-04-07,22,1.342,3.2,0.505
2020-04-08,25,1.398,3.2,0.505
2020-04-09,27,1.431,3.0,0.477
2020-04-10,30,1.477,3.1666666666666665,0.501
2020-04-11,33,1.519,3.1666666666666665,0.501
