,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-07,1,0.0,1.0,0.0
2020-03-12,3,0.477,1.5,0.176
2020-03-14,5,0.699,2.0,0.301
2020-03-16,6,0.778,1.6666666666666667,0.222
2020-03-17,10,1.0,2.25,0.352
2020-03-20,11,1.041,2.0,0.301
2020-03-24,14,1.146,2.0,0.301
2020-03-28,18,1.255,3.5,0.544
2020-03-31,20,1.301,3.0,0.477
2020-04-02,21,1.322,2.3333333333333335,0.368
2020-04-03,25,1.398,2.75,0.439
2020-04-04,26,1.415,2.0,0.301
2020-04-07,27,1.431,1.75,0.243
2020-04-09,31,1.491,2.5,0.398
2020-04-10,42,1.623,4.25,0.628
2020-04-11,77,1.886,12.75,1.106
2020-04-12,88,1.944,12.4,1.093
