,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-03,1,0.0,1.0,0.0
2020-03-19,3,0.477,2.0,0.301
2020-03-20,8,0.903,3.5,0.544
2020-03-21,13,1.114,4.0,0.602
2020-03-22,21,1.322,5.0,0.699
2020-03-23,22,1.342,4.2,0.623
2020-03-24,23,1.362,3.6666666666666665,0.564
2020-03-25,25,1.398,3.4285714285714284,0.535
2020-03-27,27,1.431,3.1666666666666665,0.501
2020-03-29,28,1.447,1.4,0.146
2020-03-31,29,1.462,1.5,0.176
2020-04-02,30,1.477,1.25,0.097
2020-04-03,31,1.491,1.0,0.0
2020-04-04,32,1.505,1.0,0.0
2020-04-06,33,1.519,1.0,0.0
2020-04-07,35,1.544,1.2,0.079
2020-04-08,40,1.602,1.8333333333333333,0.263
2020-04-13,41,1.613,2.6666666666666665,0.426
2020-04-14,43,1.633,2.6666666666666665,0.426
2020-04-15,48,1.681,2.6666666666666665,0.426
