,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-28,1,0.0,1.0,0.0
2020-03-12,2,0.301,1.0,0.0
2020-03-23,3,0.477,1.0,0.0
2020-03-28,4,0.602,1.0,0.0
2020-03-30,10,1.0,3.5,0.544
2020-03-31,13,1.114,3.3333333333333335,0.523
2020-04-01,14,1.146,2.75,0.439
2020-04-03,16,1.204,2.6,0.415
2020-04-04,17,1.23,2.6,0.415
2020-04-06,20,1.301,2.0,0.301
2020-04-07,26,1.415,2.6,0.415
2020-04-08,30,1.477,3.2,0.505
2020-04-09,32,1.505,3.0,0.477
2020-04-10,37,1.568,3.5,0.544
2020-04-11,40,1.602,3.8333333333333335,0.584
2020-04-13,44,1.643,4.0,0.602
2020-04-14,45,1.653,3.1666666666666665,0.501
2020-04-15,46,1.663,2.6666666666666665,0.426
2020-04-16,48,1.681,2.6666666666666665,0.426
2020-04-18,50,1.699,2.0,0.301
2020-04-21,55,1.74,2.5,0.398
2020-04-22,56,1.748,2.5,0.398
