,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-30,1,0.0,1.0,0.0
2020-03-31,4,0.602,2.0,0.301
2020-04-01,7,0.845,2.3333333333333335,0.368
2020-04-02,8,0.903,2.0,0.301
2020-04-04,10,1.0,2.0,0.301
2020-04-06,12,1.079,2.2,0.342
2020-04-07,13,1.114,1.8,0.255
2020-04-08,15,1.176,1.6,0.204
2020-04-09,20,1.301,2.4,0.38
2020-04-10,22,1.342,2.3333333333333335,0.368
2020-04-11,29,1.462,3.1666666666666665,0.501
2020-04-12,41,1.613,4.428571428571429,0.646
2020-04-13,46,1.663,4.857142857142857,0.686
2020-04-14,52,1.716,5.571428571428571,0.746
2020-04-15,60,1.778,6.428571428571429,0.808
2020-04-16,66,1.82,6.571428571428571,0.818
2020-04-17,76,1.881,7.714285714285714,0.887
2020-04-18,89,1.949,8.571428571428571,0.933
2020-04-20,112,2.049,11.0,1.041
2020-04-21,128,2.107,12.666666666666666,1.103
2020-04-22,138,2.14,13.0,1.114
2020-04-23,152,2.182,14.333333333333334,1.156
2020-04-24,166,2.22,15.0,1.176
2020-04-25,174,2.241,14.166666666666666,1.151
2020-04-26,176,2.246,12.428571428571429,1.094
2020-04-27,178,2.25,9.428571428571429,0.974
2020-04-28,185,2.267,8.142857142857142,0.911
2020-04-29,193,2.286,7.857142857142857,0.895
2020-04-30,197,2.294,6.428571428571429,0.808
2020-05-01,202,2.305,5.142857142857143,0.711
2020-05-02,208,2.318,4.857142857142857,0.686
