,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-06,1,0.0,1.0,0.0
2020-03-20,2,0.301,1.0,0.0
2020-03-21,3,0.477,1.0,0.0
2020-03-25,4,0.602,1.0,0.0
2020-03-28,6,0.778,1.5,0.176
2020-04-01,10,1.0,3.0,0.477
2020-04-02,11,1.041,2.3333333333333335,0.368
2020-04-03,13,1.114,2.25,0.352
2020-04-04,14,1.146,2.0,0.301
2020-04-06,19,1.279,2.6,0.415
2020-04-08,23,1.362,2.6,0.415
2020-04-09,24,1.38,2.6,0.415
2020-04-10,30,1.477,3.4,0.531
2020-04-11,56,1.748,8.4,0.924
2020-04-12,64,1.806,8.333333333333334,0.921
2020-04-13,73,1.863,9.0,0.954
2020-04-14,109,2.037,12.857142857142858,1.109
2020-04-15,115,2.061,13.142857142857142,1.119
2020-04-16,121,2.083,13.857142857142858,1.142
2020-04-17,124,2.093,13.428571428571429,1.128
2020-04-18,130,2.114,10.571428571428571,1.024
2020-04-19,132,2.121,9.714285714285714,0.987
2020-04-20,133,2.124,8.571428571428571,0.933
2020-04-21,136,2.134,3.857142857142857,0.586
2020-04-22,139,2.143,3.4285714285714284,0.535
2020-04-24,140,2.146,2.6666666666666665,0.426
2020-04-25,142,2.152,2.0,0.301
2020-04-26,143,2.155,1.8333333333333333,0.263
2020-04-27,147,2.167,2.3333333333333335,0.368
2020-04-28,148,2.17,2.0,0.301
2020-04-29,149,2.173,1.6666666666666667,0.222
2020-04-30,153,2.185,2.0,0.301
2020-05-01,154,2.188,2.0,0.301
2020-05-02,155,2.19,1.8571428571428572,0.269
2020-05-03,159,2.201,2.2857142857142856,0.359
