,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-13,1,0.0,1.0,0.0
2020-02-14,3,0.477,1.5,0.176
2020-02-15,11,1.041,3.6666666666666665,0.564
2020-02-16,15,1.176,3.75,0.574
2020-02-18,18,1.255,3.6,0.556
2020-02-19,21,1.322,3.5,0.544
2020-02-20,22,1.342,3.5,0.544
2020-02-21,25,1.398,3.6666666666666665,0.564
2020-02-22,27,1.431,2.6666666666666665,0.426
2020-02-24,32,1.505,2.8333333333333335,0.452
2020-02-26,35,1.544,2.8,0.447
2020-02-28,36,1.556,2.75,0.439
2020-02-29,38,1.58,2.75,0.439
2020-03-01,40,1.602,2.6,0.415
2020-03-03,41,1.613,1.8,0.255
2020-03-04,45,1.653,2.0,0.301
2020-03-05,53,1.724,3.0,0.477
2020-03-06,59,1.771,3.8333333333333335,0.584
2020-03-07,64,1.806,4.333333333333333,0.637
2020-03-10,67,1.826,5.2,0.716
2020-03-11,73,1.863,5.6,0.748
2020-03-12,75,1.875,4.4,0.643
2020-03-13,77,1.886,3.6,0.556
2020-03-14,86,1.934,4.4,0.643
2020-03-15,90,1.954,4.333333333333333,0.637
2020-03-17,102,2.009,5.833333333333333,0.766
2020-03-18,109,2.037,6.0,0.778
2020-03-19,121,2.083,7.666666666666667,0.885
2020-03-20,128,2.107,8.5,0.929
2020-03-21,137,2.137,8.5,0.929
2020-03-22,141,2.149,8.5,0.929
2020-03-23,158,2.199,9.714285714285714,0.987
2020-03-24,176,2.246,10.571428571428571,1.024
2020-03-25,219,2.34,15.714285714285714,1.196
2020-03-26,244,2.387,17.571428571428573,1.245
2020-03-27,288,2.459,22.857142857142858,1.359
2020-03-28,353,2.548,30.857142857142858,1.489
2020-03-29,427,2.63,40.857142857142854,1.611
2020-03-30,440,2.643,40.285714285714285,1.605
2020-03-31,522,2.718,49.42857142857143,1.694
2020-04-01,589,2.77,52.857142857142854,1.723
2020-04-02,691,2.839,63.857142857142854,1.805
2020-04-03,785,2.895,71.0,1.851
2020-04-04,904,2.956,78.71428571428571,1.896
2020-04-05,1046,3.02,88.42857142857143,1.947
2020-04-06,1133,3.054,99.0,1.996
2020-04-07,1224,3.088,100.28571428571429,2.001
2020-04-08,1382,3.141,113.28571428571429,2.054
2020-04-09,1568,3.195,125.28571428571429,2.098
2020-04-10,1769,3.248,140.57142857142858,2.148
2020-04-11,1977,3.296,153.28571428571428,2.186
2020-04-12,2149,3.332,157.57142857142858,2.197
2020-04-13,2252,3.353,159.85714285714286,2.204
2020-04-14,2413,3.383,169.85714285714286,2.23
2020-04-15,2547,3.406,166.42857142857142,2.221
2020-04-16,2697,3.431,161.28571428571428,2.208
2020-04-17,2904,3.463,162.14285714285714,2.21
2020-04-18,3089,3.49,158.85714285714286,2.201
2020-04-19,3198,3.505,149.85714285714286,2.176
2020-04-20,3299,3.518,149.57142857142858,2.175
2020-04-21,3422,3.534,144.14285714285714,2.159
2020-04-22,3550,3.55,143.28571428571428,2.156
2020-04-23,3684,3.566,141.0,2.149
2020-04-24,3850,3.585,135.14285714285714,2.131
2020-04-25,3958,3.597,124.14285714285714,2.094
2020-04-26,4034,3.606,119.42857142857143,2.077
2020-04-27,4074,3.61,110.71428571428571,2.044
2020-04-28,4187,3.622,109.28571428571429,2.039
2020-04-29,4235,3.627,97.85714285714286,1.991
2020-04-30,4281,3.632,85.28571428571429,1.931
2020-05-01,4445,3.648,85.0,1.929
2020-05-02,4603,3.663,92.14285714285714,1.964
2020-05-03,4693,3.671,94.14285714285714,1.974
2020-05-04,4780,3.679,100.85714285714286,2.004
2020-05-05,4837,3.685,92.85714285714286,1.968
2020-05-06,4874,3.688,91.28571428571429,1.96
2020-05-07,4897,3.69,88.0,1.944
2020-05-08,4936,3.693,70.14285714285714,1.846
2020-05-09,4972,3.697,52.714285714285715,1.722
2020-05-10,4994,3.698,43.0,1.633
2020-05-11,5009,3.7,32.714285714285715,1.515
2020-05-12,5037,3.702,28.571428571428573,1.456
2020-05-13,5047,3.703,24.714285714285715,1.393
2020-05-14,5077,3.706,25.714285714285715,1.41
2020-05-15,5086,3.706,21.428571428571427,1.331
2020-05-16,5100,3.708,18.285714285714285,1.262
