,cumsum,log10_cumsum,rolling,log10_rolling
2020-01-15,1,0.0,1.0,0.0
2020-01-28,2,0.301,1.0,0.0
2020-01-29,3,0.477,1.0,0.0
2020-01-30,5,0.699,1.3333333333333333,0.125
2020-01-31,6,0.778,1.25,0.097
2020-02-04,7,0.845,1.25,0.097
2020-02-10,8,0.903,1.0,0.0
2020-02-11,9,0.954,1.0,0.0
2020-02-13,13,1.114,2.0,0.301
2020-02-14,20,1.301,3.25,0.512
2020-02-15,32,1.505,5.0,0.699
2020-02-16,38,1.58,5.166666666666667,0.713
2020-02-17,44,1.643,6.0,0.778
2020-02-18,54,1.732,7.5,0.875
2020-02-19,62,1.792,7.571428571428571,0.879
2020-02-20,71,1.851,8.285714285714286,0.918
2020-02-21,88,1.944,9.714285714285714,0.987
2020-02-22,114,2.057,11.714285714285714,1.069
2020-02-23,124,2.093,12.285714285714286,1.089
2020-02-24,136,2.134,13.142857142857142,1.119
2020-02-25,151,2.179,13.857142857142858,1.142
2020-02-26,168,2.225,15.142857142857142,1.18
2020-02-27,193,2.286,17.428571428571427,1.241
2020-02-28,213,2.328,17.857142857142858,1.252
2020-02-29,221,2.344,15.285714285714286,1.184
2020-03-01,235,2.371,15.857142857142858,1.2
2020-03-02,251,2.4,16.428571428571427,1.216
2020-03-03,271,2.433,17.142857142857142,1.234
2020-03-04,307,2.487,19.857142857142858,1.298
2020-03-05,343,2.535,21.428571428571427,1.331
2020-03-06,400,2.602,26.714285714285715,1.427
2020-03-07,437,2.64,30.857142857142858,1.489
2020-03-08,474,2.676,34.142857142857146,1.533
2020-03-09,500,2.699,35.57142857142857,1.551
2020-03-10,568,2.754,42.42857142857143,1.628
2020-03-11,625,2.796,45.42857142857143,1.657
2020-03-12,669,2.825,46.57142857142857,1.668
2020-03-13,709,2.851,44.142857142857146,1.645
2020-03-14,763,2.883,46.57142857142857,1.668
2020-03-15,792,2.899,45.42857142857143,1.657
2020-03-16,811,2.909,44.42857142857143,1.648
2020-03-17,854,2.931,40.857142857142854,1.611
2020-03-18,896,2.952,38.714285714285715,1.588
2020-03-19,940,2.973,38.714285714285715,1.588
2020-03-20,985,2.993,39.42857142857143,1.596
2020-03-21,1028,3.012,37.857142857142854,1.578
2020-03-22,1067,3.028,39.285714285714285,1.594
2020-03-23,1105,3.043,42.0,1.623
2020-03-24,1183,3.073,47.0,1.672
2020-03-25,1272,3.104,53.714285714285715,1.73
2020-03-26,1350,3.13,58.57142857142857,1.768
2020-03-27,1475,3.169,70.0,1.845
2020-03-28,1680,3.225,93.14285714285714,1.969
2020-03-29,1839,3.265,110.28571428571429,2.043
2020-03-30,1962,3.293,122.42857142857143,2.088
2020-03-31,2198,3.342,145.0,2.161
2020-04-01,2466,3.392,170.57142857142858,2.232
2020-04-02,2758,3.441,201.14285714285714,2.304
2020-04-03,3098,3.491,231.85714285714286,2.365
2020-04-04,3486,3.542,258.0,2.412
2020-04-05,3783,3.578,277.7142857142857,2.444
2020-04-06,4045,3.607,297.57142857142856,2.474
2020-04-07,4516,3.655,331.14285714285717,2.52
2020-04-08,4985,3.698,359.85714285714283,2.556
2020-04-09,5624,3.75,409.42857142857144,2.612
2020-04-10,6255,3.796,451.0,2.654
2020-04-11,6944,3.842,494.0,2.694
2020-04-12,7396,3.869,516.1428571428571,2.713
2020-04-13,7703,3.887,522.5714285714286,2.718
2020-04-14,8221,3.915,529.2857142857143,2.724
2020-04-15,8800,3.944,545.0,2.736
2020-04-16,9327,3.97,529.0,2.723
2020-04-17,9882,3.995,518.1428571428571,2.714
2020-04-18,10439,4.019,499.2857142857143,2.698
2020-04-19,10765,4.032,481.2857142857143,2.682
2020-04-20,11124,4.046,488.7142857142857,2.689
2020-04-21,11530,4.062,472.7142857142857,2.675
2020-04-22,11965,4.078,452.14285714285717,2.655
2020-04-23,12384,4.093,436.7142857142857,2.64
2020-04-24,12822,4.108,420.0,2.623
2020-04-25,13170,4.12,390.14285714285717,2.591
2020-04-26,13371,4.126,372.2857142857143,2.571
2020-04-27,13543,4.132,345.57142857142856,2.539
2020-04-28,13833,4.141,329.0,2.517
2020-04-29,14048,4.148,297.57142857142856,2.474
2020-04-30,14216,4.153,261.7142857142857,2.418
2020-05-01,14503,4.161,240.14285714285714,2.38
2020-05-02,14805,4.17,233.57142857142858,2.368
2020-05-03,14988,4.176,231.0,2.364
2020-05-04,15138,4.18,227.85714285714286,2.358
2020-05-05,15254,4.183,203.0,2.307
2020-05-06,15352,4.186,186.28571428571428,2.27
2020-05-07,15439,4.189,174.71428571428572,2.242
2020-05-08,15535,4.191,147.42857142857142,2.169
2020-05-09,15648,4.194,120.42857142857143,2.081
2020-05-10,15711,4.196,103.28571428571429,2.014
2020-05-11,15746,4.197,86.85714285714286,1.939
2020-05-12,15820,4.199,80.85714285714286,1.908
2020-05-13,15896,4.201,77.71428571428571,1.891
2020-05-14,15977,4.203,76.85714285714286,1.886
2020-05-15,16039,4.205,72.0,1.857
2020-05-16,16074,4.206,60.857142857142854,1.784
2020-05-17,16081,4.206,52.857142857142854,1.723
2020-05-18,16091,4.207,49.285714285714285,1.693
