,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-21,1,0.0,1.0,0.0
2020-02-22,2,0.301,1.0,0.0
2020-02-24,4,0.602,1.3333333333333333,0.125
2020-02-28,5,0.699,1.3333333333333333,0.125
2020-03-09,6,0.778,1.0,0.0
2020-03-20,7,0.845,1.0,0.0
2020-03-28,8,0.903,1.0,0.0
2020-03-30,10,1.0,1.5,0.176
2020-03-31,12,1.079,1.6666666666666667,0.222
2020-04-01,14,1.146,1.75,0.243
2020-04-02,15,1.176,1.6,0.204
2020-04-03,23,1.362,2.6666666666666665,0.426
2020-04-04,31,1.491,3.8333333333333335,0.584
2020-04-05,42,1.623,4.857142857142857,0.686
2020-04-06,44,1.643,4.857142857142857,0.686
2020-04-07,56,1.748,6.285714285714286,0.798
2020-04-08,67,1.826,7.571428571428571,0.879
2020-04-09,81,1.908,9.428571428571429,0.974
2020-04-10,94,1.973,10.142857142857142,1.006
2020-04-11,113,2.053,11.714285714285714,1.069
2020-04-12,120,2.079,11.142857142857142,1.047
2020-04-13,127,2.104,11.857142857142858,1.074
2020-04-14,133,2.124,11.0,1.041
2020-04-15,142,2.152,10.714285714285714,1.03
2020-04-16,153,2.185,10.285714285714286,1.012
2020-04-17,172,2.236,11.142857142857142,1.047
2020-04-18,178,2.25,9.285714285714286,0.968
2020-04-19,181,2.258,8.714285714285714,0.94
2020-04-20,190,2.279,9.0,0.954
2020-04-21,195,2.29,8.857142857142858,0.947
2020-04-22,216,2.334,10.571428571428571,1.024
2020-04-23,218,2.338,9.285714285714286,0.968
2020-04-24,224,2.35,7.428571428571429,0.871
2020-04-25,228,2.358,7.142857142857143,0.854
2020-04-26,237,2.375,8.0,0.903
2020-04-27,243,2.386,7.571428571428571,0.879
2020-04-28,251,2.4,8.0,0.903
2020-04-29,252,2.401,5.142857142857143,0.711
2020-04-30,253,2.403,5.0,0.699
2020-05-01,256,2.408,4.571428571428571,0.66
2020-05-02,262,2.418,4.857142857142857,0.686
2020-05-03,267,2.427,4.285714285714286,0.632
2020-05-04,270,2.431,3.857142857142857,0.586
2020-05-06,273,2.436,3.5,0.544
2020-05-07,277,2.442,4.0,0.602
2020-05-08,279,2.446,3.8333333333333335,0.584
2020-05-10,280,2.447,2.6,0.415
2020-05-11,284,2.453,2.8,0.447
2020-05-12,285,2.455,2.5,0.398
2020-05-13,286,2.456,2.1666666666666665,0.336
2020-05-15,287,2.458,1.6,0.204
2020-05-16,288,2.459,1.5,0.176
2020-05-18,289,2.461,1.0,0.0
