,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-14,1,0.0,1.0,0.0
2020-02-18,2,0.301,1.0,0.0
2020-02-19,4,0.602,1.3333333333333333,0.125
2020-02-21,7,0.845,2.0,0.301
2020-02-22,17,1.23,4.0,0.602
2020-02-23,25,1.398,4.8,0.681
2020-02-24,29,1.462,4.666666666666667,0.669
2020-02-25,34,1.531,5.333333333333333,0.727
2020-02-26,37,1.568,5.5,0.74
2020-02-27,52,1.716,6.857142857142857,0.836
2020-02-28,64,1.806,8.142857142857142,0.911
2020-02-29,68,1.833,7.285714285714286,0.862
2020-03-01,71,1.851,6.571428571428571,0.818
2020-03-02,75,1.875,6.571428571428571,0.818
2020-03-03,77,1.886,6.142857142857143,0.788
2020-03-04,81,1.908,6.285714285714286,0.798
2020-03-05,84,1.924,4.571428571428571,0.66
2020-03-06,91,1.959,3.857142857142857,0.586
2020-03-07,97,1.987,4.142857142857143,0.617
2020-03-08,103,2.013,4.571428571428571,0.66
2020-03-09,110,2.041,5.0,0.699
2020-03-10,119,2.076,6.0,0.778
2020-03-11,128,2.107,6.714285714285714,0.827
2020-03-12,130,2.114,6.571428571428571,0.818
2020-03-13,140,2.146,7.0,0.845
2020-03-14,144,2.158,6.714285714285714,0.827
2020-03-15,148,2.17,6.428571428571429,0.808
2020-03-16,150,2.176,5.714285714285714,0.757
2020-03-18,153,2.185,4.166666666666667,0.62
2020-03-19,156,2.193,4.333333333333333,0.637
2020-03-21,159,2.201,3.0,0.477
2020-03-22,160,2.204,2.4,0.38
2020-03-23,161,2.207,2.2,0.342
2020-03-24,163,2.212,2.1666666666666665,0.336
2020-03-25,164,2.215,1.8333333333333333,0.263
2020-03-26,165,2.217,1.5,0.176
2020-03-27,169,2.228,1.8571428571428572,0.269
2020-03-29,172,2.236,2.0,0.301
2020-03-30,173,2.238,2.0,0.301
2020-03-31,175,2.243,2.0,0.301
2020-04-01,178,2.25,2.3333333333333335,0.368
2020-04-02,183,2.262,3.0,0.477
2020-04-03,187,2.272,3.0,0.477
2020-04-04,188,2.274,2.7142857142857144,0.434
2020-04-05,189,2.276,2.4285714285714284,0.385
2020-04-06,193,2.286,2.857142857142857,0.456
2020-04-07,203,2.307,4.0,0.602
2020-04-09,226,2.354,7.166666666666667,0.855
2020-04-10,245,2.389,9.666666666666666,0.985
2020-04-11,260,2.415,12.0,1.079
2020-04-12,266,2.425,12.833333333333334,1.108
2020-04-13,279,2.446,14.333333333333334,1.156
2020-04-14,285,2.455,13.666666666666666,1.136
2020-04-15,327,2.515,17.714285714285715,1.248
2020-04-16,347,2.54,17.285714285714285,1.238
2020-04-17,382,2.582,19.571428571428573,1.292
2020-04-18,414,2.617,22.0,1.342
2020-04-19,438,2.641,24.571428571428573,1.39
2020-04-20,449,2.652,24.285714285714285,1.385
2020-04-21,488,2.688,29.0,1.462
2020-04-22,508,2.706,25.857142857142858,1.413
2020-04-23,558,2.747,30.142857142857142,1.479
2020-04-24,588,2.769,29.428571428571427,1.469
2020-04-25,622,2.794,29.714285714285715,1.473
2020-04-26,639,2.806,28.714285714285715,1.458
2020-04-27,668,2.825,31.285714285714285,1.495
2020-04-28,720,2.857,33.142857142857146,1.52
2020-04-29,750,2.875,34.57142857142857,1.539
2020-04-30,782,2.893,32.0,1.505
2020-05-01,820,2.914,33.142857142857146,1.52
2020-05-02,849,2.929,32.42857142857143,1.511
2020-05-03,871,2.94,33.142857142857146,1.52
2020-05-04,883,2.946,30.714285714285715,1.487
2020-05-05,898,2.953,25.428571428571427,1.405
2020-05-06,911,2.96,23.0,1.362
2020-05-07,920,2.964,19.714285714285715,1.295
2020-05-08,931,2.969,15.857142857142858,1.2
2020-05-09,952,2.979,14.714285714285714,1.168
2020-05-10,959,2.982,12.571428571428571,1.099
2020-05-11,962,2.983,11.285714285714286,1.053
2020-05-12,969,2.986,10.142857142857142,1.006
2020-05-13,975,2.989,9.142857142857142,0.961
2020-05-14,979,2.991,8.428571428571429,0.926
2020-05-15,993,2.997,8.857142857142858,0.947
2020-05-16,996,2.998,6.285714285714286,0.798
2020-05-17,998,2.999,5.571428571428571,0.746
2020-05-18,999,3.0,5.285714285714286,0.723
2020-05-19,1004,3.002,5.0,0.699
2020-05-20,1008,3.003,4.714285714285714,0.673
2020-05-21,1018,3.008,5.571428571428571,0.746
2020-05-22,1029,3.012,5.142857142857143,0.711
2020-05-23,1034,3.015,5.428571428571429,0.735
2020-05-24,1039,3.017,5.857142857142857,0.768
2020-05-25,1049,3.021,7.142857142857143,0.854
2020-05-26,1054,3.023,7.142857142857143,0.854
2020-05-27,1059,3.025,7.285714285714286,0.862
2020-05-28,1060,3.025,6.0,0.778
2020-05-29,1068,3.029,5.571428571428571,0.746
2020-05-30,1071,3.03,5.285714285714286,0.723
2020-05-31,1075,3.031,5.142857142857143,0.711
2020-06-01,1079,3.033,4.285714285714286,0.632
2020-06-02,1082,3.034,4.0,0.602
2020-06-03,1083,3.035,3.4285714285714284,0.535
2020-06-04,1090,3.037,4.285714285714286,0.632
2020-06-05,1097,3.04,4.142857142857143,0.617
2020-06-06,1100,3.041,4.142857142857143,0.617
2020-06-07,1106,3.044,4.428571428571429,0.646
2020-06-08,1111,3.046,4.571428571428571,0.66
2020-06-09,1118,3.048,5.142857142857143,0.711
2020-06-10,1127,3.052,6.285714285714286,0.798
2020-06-11,1139,3.057,7.0,0.845
2020-06-12,1142,3.058,6.428571428571429,0.808
2020-06-13,1148,3.06,6.857142857142857,0.836
