,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-25,1,0.0,1.0,0.0
2020-02-26,2,0.301,1.0,0.0
2020-03-06,3,0.477,1.0,0.0
2020-03-14,4,0.602,1.0,0.0
2020-03-24,5,0.699,1.0,0.0
2020-03-29,7,0.845,1.5,0.176
2020-04-01,8,0.903,1.5,0.176
2020-04-03,9,0.954,1.3333333333333333,0.125
2020-04-04,10,1.0,1.25,0.097
2020-04-05,11,1.041,1.0,0.0
2020-04-06,13,1.114,1.2,0.079
2020-04-08,20,1.301,2.4,0.38
2020-04-09,22,1.342,2.3333333333333335,0.368
2020-04-10,29,1.462,3.3333333333333335,0.523
2020-04-12,30,1.477,3.8,0.58
2020-04-13,37,1.568,4.8,0.681
2020-04-14,39,1.591,4.333333333333333,0.637
2020-04-15,45,1.653,4.166666666666667,0.62
2020-04-17,47,1.672,3.6,0.556
2020-04-19,51,1.708,4.2,0.623
2020-04-20,52,1.716,3.0,0.477
2020-04-21,55,1.74,3.2,0.505
2020-04-22,58,1.763,2.6,0.415
2020-04-23,61,1.785,2.6666666666666665,0.426
2020-04-24,64,1.806,2.8333333333333335,0.452
2020-05-01,65,1.813,1.0,0.0
2020-05-02,68,1.833,2.0,0.301
2020-05-04,70,1.845,2.0,0.301
2020-05-06,71,1.851,1.75,0.243
2020-05-07,72,1.857,1.6,0.204
2020-05-08,73,1.863,1.6,0.204
2020-05-12,74,1.869,1.0,0.0
2020-06-18,75,1.875,1.0,0.0
