,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-31,1,0.0,1.0,0.0
2020-04-02,2,0.301,1.0,0.0
2020-04-03,7,0.845,2.3333333333333335,0.368
2020-04-04,9,0.954,2.25,0.352
2020-04-05,12,1.079,2.4,0.38
2020-04-06,18,1.255,3.0,0.477
2020-04-07,21,1.322,3.3333333333333335,0.523
2020-04-09,31,1.491,4.833333333333333,0.684
2020-04-10,33,1.519,4.333333333333333,0.637
2020-04-12,38,1.58,5.2,0.716
2020-04-13,41,1.613,4.6,0.663
2020-04-14,47,1.672,5.2,0.716
2020-04-15,53,1.724,5.333333333333333,0.727
2020-04-16,54,1.732,3.8333333333333335,0.584
2020-04-17,58,1.763,4.166666666666667,0.62
2020-04-18,60,1.778,3.857142857142857,0.586
2020-04-19,61,1.785,3.2857142857142856,0.517
2020-04-20,64,1.806,3.2857142857142856,0.517
2020-04-22,65,1.813,2.0,0.301
2020-04-24,66,1.82,1.6,0.204
2020-04-28,67,1.826,1.0,0.0
2020-04-29,68,1.833,1.0,0.0
2020-05-04,69,1.839,1.0,0.0
2020-07-04,71,1.851,2.0,0.301
2020-07-06,72,1.857,1.5,0.176
2020-07-14,73,1.863,1.0,0.0
2020-07-16,74,1.869,1.0,0.0
