,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-14,1,0.0,1.0,0.0
2020-02-19,2,0.301,1.0,0.0
2020-02-20,3,0.477,1.0,0.0
2020-03-20,4,0.602,1.0,0.0
2020-03-23,5,0.699,1.0,0.0
2020-03-26,6,0.778,1.0,0.0
2020-03-28,8,0.903,1.3333333333333333,0.125
2020-03-29,9,0.954,1.25,0.097
2020-04-03,12,1.079,2.0,0.301
2020-04-04,16,1.204,2.6666666666666665,0.426
2020-04-06,24,1.38,5.0,0.699
2020-04-07,37,1.568,7.0,0.845
2020-04-09,40,1.602,6.2,0.792
2020-04-10,47,1.672,7.0,0.845
2020-04-11,54,1.732,7.6,0.881
2020-04-12,63,1.799,7.833333333333333,0.894
2020-04-13,70,1.845,7.666666666666667,0.885
2020-04-14,74,1.869,6.166666666666667,0.79
2020-04-15,84,1.924,6.714285714285714,0.827
2020-04-16,92,1.964,7.428571428571429,0.871
2020-04-17,99,1.996,7.428571428571429,0.871
2020-04-18,108,2.033,7.714285714285714,0.887
2020-04-19,112,2.049,7.0,0.845
2020-04-20,118,2.072,6.857142857142857,0.836
2020-04-21,122,2.086,6.857142857142857,0.836
2020-04-22,127,2.104,6.142857142857143,0.788
2020-04-23,129,2.111,5.285714285714286,0.723
2020-04-24,130,2.114,4.428571428571429,0.646
2020-04-25,131,2.117,3.2857142857142856,0.517
2020-04-26,134,2.127,3.142857142857143,0.497
2020-04-28,138,2.14,2.6666666666666665,0.426
2020-04-30,139,2.143,2.0,0.301
2020-07-08,141,2.149,2.0,0.301
2020-07-15,142,2.152,1.0,0.0
2020-07-18,143,2.155,1.0,0.0
2020-07-19,144,2.158,1.0,0.0
2020-07-20,148,2.17,1.75,0.243
2020-07-22,151,2.179,2.25,0.352
2020-07-23,160,2.204,3.6,0.556
2020-07-24,172,2.236,5.0,0.699
2020-07-25,180,2.255,6.166666666666667,0.79
2020-07-26,187,2.272,7.166666666666667,0.855
2020-07-27,210,2.322,10.333333333333334,1.014
2020-07-28,234,2.369,12.285714285714286,1.089
2020-07-29,277,2.442,18.0,1.255
2020-07-30,334,2.524,24.857142857142858,1.395
2020-07-31,408,2.611,33.714285714285715,1.528
2020-08-01,454,2.657,39.142857142857146,1.593
2020-08-02,502,2.701,45.0,1.653
2020-08-03,515,2.712,43.57142857142857,1.639
