,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-04,1,0.0,1.0,0.0
2020-03-17,3,0.477,2.0,0.301
2020-04-03,6,0.778,3.0,0.477
2020-04-04,7,0.845,2.0,0.301
2020-04-05,9,0.954,2.0,0.301
2020-04-06,10,1.0,1.75,0.243
2020-04-07,11,1.041,1.6,0.204
2020-04-08,15,1.176,2.0,0.301
2020-04-11,16,1.204,1.8,0.255
2020-07-05,17,1.23,1.0,0.0
2020-07-12,19,1.279,2.0,0.301
2020-07-22,22,1.342,3.0,0.477
2020-07-23,26,1.415,3.5,0.544
2020-07-24,35,1.544,5.333333333333333,0.727
2020-07-25,61,1.785,10.5,1.021
2020-07-26,66,1.82,9.4,0.973
2020-07-27,84,1.924,10.833333333333334,1.035
2020-07-28,103,2.013,12.0,1.079
2020-07-29,120,2.079,14.0,1.146
2020-07-30,140,2.146,16.285714285714285,1.212
2020-07-31,156,2.193,17.285714285714285,1.238
