,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-13,1,0.0,1.0,0.0
2020-03-31,2,0.301,1.0,0.0
2020-04-01,3,0.477,1.0,0.0
2020-04-03,5,0.699,1.3333333333333333,0.125
2020-04-05,7,0.845,1.5,0.176
2020-04-07,10,1.0,2.0,0.301
2020-04-09,11,1.041,2.0,0.301
2020-04-11,13,1.114,2.0,0.301
2020-04-14,15,1.176,1.6666666666666667,0.222
2020-04-17,16,1.204,1.6666666666666667,0.222
2020-04-19,17,1.23,1.3333333333333333,0.125
2020-04-22,19,1.279,1.3333333333333333,0.125
2020-04-23,21,1.322,1.5,0.176
2020-04-24,34,1.531,4.5,0.653
2020-04-25,35,1.544,3.8,0.58
2020-04-28,36,1.556,3.8,0.58
2020-04-29,39,1.591,4.0,0.602
2020-05-01,40,1.602,1.5,0.176
2020-05-03,42,1.623,1.75,0.243
2020-05-04,43,1.633,1.6,0.204
2020-05-13,44,1.643,1.0,0.0
2020-05-16,45,1.653,1.0,0.0
2020-07-20,46,1.663,1.0,0.0
2020-07-21,47,1.672,1.0,0.0
2020-07-22,53,1.724,2.6666666666666665,0.426
2020-07-23,56,1.748,2.75,0.439
2020-07-24,61,1.785,3.2,0.505
2020-07-25,64,1.806,3.1666666666666665,0.501
2020-07-26,66,1.82,3.0,0.477
2020-07-28,70,1.845,3.8333333333333335,0.584
2020-07-29,73,1.863,3.3333333333333335,0.523
2020-07-30,77,1.886,3.5,0.544
2020-07-31,85,1.929,4.0,0.602
2020-08-01,93,1.968,4.833333333333333,0.684
2020-08-02,98,1.991,5.333333333333333,0.727
2020-08-03,107,2.029,5.857142857142857,0.768
2020-08-04,116,2.064,6.571428571428571,0.818
2020-08-05,126,2.1,7.571428571428571,0.879
2020-08-06,138,2.14,8.714285714285714,0.94
2020-08-07,145,2.161,8.571428571428571,0.933
2020-08-08,150,2.176,8.142857142857142,0.911
2020-08-09,159,2.201,8.714285714285714,0.94
