,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-06,2,0.301,2.0,0.301
2020-03-27,4,0.602,2.0,0.301
2020-03-30,5,0.699,1.5,0.176
2020-03-31,6,0.778,1.3333333333333333,0.125
2020-04-01,7,0.845,1.25,0.097
2020-04-02,8,0.903,1.2,0.079
2020-04-03,9,0.954,1.0,0.0
2020-04-04,10,1.0,1.0,0.0
2020-04-10,12,1.079,1.5,0.176
2020-04-11,14,1.146,2.0,0.301
2020-04-14,15,1.176,1.6666666666666667,0.222
2020-07-25,16,1.204,1.0,0.0
2020-07-26,17,1.23,1.0,0.0
2020-08-07,31,1.491,14.0,1.146
2020-08-08,33,1.519,8.0,0.903
2020-08-09,34,1.531,5.666666666666667,0.753
2020-08-12,35,1.544,4.5,0.653
2020-08-13,36,1.556,3.8,0.58
