,cumsum,log10_cumsum,rolling,log10_rolling
2020-04-09,1,0.0,1.0,0.0
2020-04-10,6,0.778,3.0,0.477
2020-04-11,7,0.845,2.3333333333333335,0.368
2020-04-12,8,0.903,2.0,0.301
2020-04-13,10,1.0,2.0,0.301
2020-04-14,13,1.114,2.1666666666666665,0.336
2020-04-16,14,1.146,2.1666666666666665,0.336
2020-04-17,15,1.176,1.5,0.176
2020-04-19,16,1.204,1.6,0.204
2020-04-25,18,1.255,1.5,0.176
2020-04-26,22,1.342,3.0,0.477
2020-04-27,23,1.362,2.3333333333333335,0.368
2020-05-02,24,1.38,2.0,0.301
2020-07-14,25,1.398,1.0,0.0
2020-07-21,26,1.415,1.0,0.0
2020-07-24,28,1.447,1.5,0.176
2020-07-27,29,1.462,1.3333333333333333,0.125
2020-08-08,122,2.086,93.0,1.968
2020-08-09,123,2.09,47.0,1.672
2020-08-10,126,2.1,32.333333333333336,1.51
2020-08-11,130,2.114,25.25,1.402
2020-08-12,132,2.121,20.6,1.314
