,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-18,1,0.0,1.0,0.0
2020-03-25,3,0.477,2.0,0.301
2020-03-26,6,0.778,2.5,0.398
2020-03-27,9,0.954,2.6666666666666665,0.426
2020-03-28,12,1.079,2.75,0.439
2020-03-29,13,1.114,2.4,0.38
2020-03-30,20,1.301,3.1666666666666665,0.501
2020-03-31,21,1.322,2.857142857142857,0.456
2020-04-01,35,1.544,4.571428571428571,0.66
2020-04-02,39,1.591,4.714285714285714,0.673
2020-04-03,46,1.663,5.285714285714286,0.723
2020-04-04,53,1.724,5.857142857142857,0.768
2020-04-05,59,1.771,6.571428571428571,0.818
2020-04-06,65,1.813,6.428571428571429,0.808
2020-04-07,72,1.857,7.285714285714286,0.862
2020-04-08,77,1.886,6.0,0.778
2020-04-09,82,1.914,6.142857142857143,0.788
2020-04-10,86,1.934,5.714285714285714,0.757
2020-04-11,88,1.944,5.0,0.699
2020-04-12,92,1.964,4.714285714285714,0.673
2020-04-14,99,1.996,4.5,0.653
2020-04-15,101,2.004,4.0,0.602
2020-04-16,104,2.017,3.6666666666666665,0.564
2020-04-17,105,2.021,3.1666666666666665,0.501
2020-04-18,108,2.033,3.3333333333333335,0.523
2020-04-19,112,2.049,3.3333333333333335,0.523
2020-04-20,118,2.072,3.7142857142857144,0.57
2020-04-22,119,2.076,3.0,0.477
2020-04-23,120,2.079,2.6666666666666665,0.426
2020-04-25,121,2.083,2.6,0.415
2020-04-27,122,2.086,1.0,0.0
2020-07-12,123,2.09,1.0,0.0
2020-07-13,124,2.093,1.0,0.0
2020-07-15,125,2.097,1.0,0.0
2020-07-17,126,2.1,1.0,0.0
2020-07-23,127,2.104,1.0,0.0
2020-07-25,128,2.107,1.0,0.0
2020-07-26,129,2.111,1.0,0.0
2020-07-29,137,2.137,2.75,0.439
2020-07-31,139,2.143,3.0,0.477
2020-08-02,140,2.146,3.6666666666666665,0.564
2020-08-03,143,2.155,3.5,0.544
2020-08-04,146,2.164,3.4,0.531
2020-08-05,150,2.176,2.6,0.415
2020-08-06,151,2.179,2.3333333333333335,0.368
2020-08-07,153,2.185,2.3333333333333335,0.368
2020-08-16,154,2.188,1.0,0.0
2020-08-20,155,2.19,1.0,0.0
2020-08-21,156,2.193,1.0,0.0
