,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-17,1,0.0,1.0,0.0
2020-04-08,2,0.301,1.0,0.0
2020-04-10,3,0.477,1.0,0.0
2020-04-12,7,0.845,2.0,0.301
2020-04-13,18,1.255,4.25,0.628
2020-04-14,19,1.279,3.6,0.556
2020-04-15,20,1.301,3.6,0.556
2020-04-16,21,1.322,3.1666666666666665,0.501
2020-04-17,23,1.362,3.3333333333333335,0.523
2020-04-18,24,1.38,3.0,0.477
2020-04-19,25,1.398,2.5714285714285716,0.41
2020-04-20,27,1.431,1.2857142857142858,0.109
2020-05-02,28,1.447,1.0,0.0
2020-07-10,29,1.462,1.0,0.0
2020-07-13,30,1.477,1.0,0.0
2020-07-14,31,1.491,1.0,0.0
2020-07-15,32,1.505,1.0,0.0
2020-07-16,42,1.623,2.8,0.447
2020-07-17,43,1.633,2.8,0.447
2020-07-18,44,1.643,2.5,0.398
2020-07-22,45,1.653,3.25,0.512
2020-07-28,46,1.663,1.0,0.0
2020-08-04,48,1.681,2.0,0.301
2020-08-05,52,1.716,3.0,0.477
2020-08-06,55,1.74,3.0,0.477
2020-08-07,56,1.748,2.5,0.398
2020-08-08,57,1.756,2.2,0.342
2020-08-09,58,1.763,2.0,0.301
2020-08-13,59,1.771,1.0,0.0
2020-08-14,60,1.778,1.0,0.0
2020-08-15,61,1.785,1.0,0.0
2020-08-16,63,1.799,1.25,0.097
2020-08-18,66,1.82,1.6,0.204
2020-08-20,69,1.839,2.0,0.301
