,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-13,1,0.0,1.0,0.0
2020-02-14,2,0.301,1.0,0.0
2020-02-15,5,0.699,1.6666666666666667,0.222
2020-02-17,9,0.954,2.25,0.352
2020-02-18,12,1.079,2.4,0.38
2020-02-22,13,1.114,2.6666666666666665,0.426
2020-03-05,14,1.146,1.0,0.0
2020-03-14,15,1.176,1.0,0.0
2020-03-18,16,1.204,1.0,0.0
2020-03-19,17,1.23,1.0,0.0
2020-03-20,18,1.255,1.0,0.0
2020-03-30,19,1.279,1.0,0.0
2020-03-31,20,1.301,1.0,0.0
2020-04-01,22,1.342,1.3333333333333333,0.125
2020-04-02,23,1.362,1.25,0.097
2020-04-04,24,1.38,1.2,0.079
2020-04-05,25,1.398,1.1666666666666667,0.067
2020-04-06,28,1.447,1.5,0.176
2020-04-07,35,1.544,2.5,0.398
2020-04-09,38,1.58,3.0,0.477
2020-04-10,39,1.591,2.6666666666666665,0.426
2020-04-12,40,1.602,3.0,0.477
2020-04-14,41,1.613,1.5,0.176
2020-04-15,43,1.633,1.6,0.204
2020-04-16,44,1.643,1.2,0.079
2020-04-17,45,1.653,1.2,0.079
2020-04-18,46,1.663,1.1666666666666667,0.067
2020-04-20,47,1.672,1.1666666666666667,0.067
2020-04-21,48,1.681,1.1666666666666667,0.067
2020-04-22,49,1.69,1.0,0.0
2020-04-23,50,1.699,1.0,0.0
2020-04-24,54,1.732,1.5,0.176
2020-04-25,57,1.756,1.8333333333333333,0.263
2020-04-26,59,1.771,1.8571428571428572,0.269
2020-04-28,60,1.778,2.0,0.301
2020-04-30,62,1.792,2.4,0.38
2020-05-12,64,1.806,2.0,0.301
2020-07-08,65,1.813,1.0,0.0
2020-07-09,69,1.839,2.5,0.398
2020-07-10,75,1.875,3.6666666666666665,0.564
2020-07-11,80,1.903,4.0,0.602
2020-07-13,84,1.924,4.0,0.602
2020-07-16,86,1.934,4.25,0.628
2020-07-17,89,1.949,3.5,0.544
2020-07-19,93,1.968,3.25,0.512
2020-07-20,94,1.973,2.5,0.398
2020-07-21,99,1.996,3.0,0.477
2020-07-22,107,2.029,3.8333333333333335,0.584
2020-07-23,108,2.033,3.6666666666666665,0.564
2020-07-24,111,2.045,3.6666666666666665,0.564
2020-07-25,116,2.064,3.857142857142857,0.586
2020-07-26,124,2.093,4.428571428571429,0.646
2020-07-27,127,2.104,4.714285714285714,0.673
2020-07-28,133,2.124,4.857142857142857,0.686
2020-07-29,136,2.134,4.142857142857143,0.617
2020-07-30,144,2.158,5.142857142857143,0.711
2020-07-31,155,2.19,6.285714285714286,0.798
2020-08-01,160,2.204,6.285714285714286,0.798
2020-08-02,163,2.212,5.571428571428571,0.746
2020-08-03,165,2.217,5.428571428571429,0.735
2020-08-04,167,2.223,4.857142857142857,0.686
2020-08-07,168,2.225,2.6,0.415
2020-08-08,170,2.23,2.0,0.301
2020-08-09,173,2.238,2.0,0.301
2020-08-10,177,2.248,2.4,0.38
2020-08-11,178,2.25,2.2,0.342
2020-08-12,182,2.26,2.5,0.398
2020-08-14,186,2.27,3.0,0.477
2020-08-15,188,2.274,3.0,0.477
2020-08-16,190,2.279,2.8333333333333335,0.452
2020-08-17,202,2.305,4.166666666666667,0.62
2020-08-18,203,2.307,4.166666666666667,0.62
2020-08-19,211,2.324,4.833333333333333,0.684
2020-08-20,215,2.332,4.714285714285714,0.673
2020-08-21,217,2.336,4.428571428571429,0.646
2020-08-22,219,2.34,4.428571428571429,0.646
2020-08-23,220,2.342,4.285714285714286,0.632
2020-08-25,221,2.344,3.0,0.477
2020-08-28,223,2.348,1.5,0.176
2020-09-01,224,2.35,1.5,0.176
2020-09-04,225,2.352,1.0,0.0
2020-09-06,226,2.354,1.0,0.0
2020-09-07,228,2.358,1.25,0.097
2020-09-10,229,2.36,1.25,0.097
