,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-21,1,0.0,1.0,0.0
2020-02-22,3,0.477,1.5,0.176
2020-02-25,5,0.699,1.6666666666666667,0.222
2020-03-04,6,0.778,1.0,0.0
2020-03-19,7,0.845,1.0,0.0
2020-03-25,8,0.903,1.0,0.0
2020-03-27,11,1.041,2.0,0.301
2020-03-29,12,1.079,1.6666666666666667,0.222
2020-03-30,14,1.146,1.75,0.243
2020-04-01,15,1.176,1.75,0.243
2020-04-03,18,1.255,1.75,0.243
2020-04-05,19,1.279,1.75,0.243
2020-04-06,20,1.301,1.5,0.176
2020-04-07,22,1.342,1.6,0.204
2020-04-09,23,1.362,1.6,0.204
2020-04-10,24,1.38,1.2,0.079
2020-04-11,25,1.398,1.1666666666666667,0.067
2020-04-12,27,1.431,1.3333333333333333,0.125
2020-04-13,28,1.447,1.3333333333333333,0.125
2020-04-14,31,1.491,1.5,0.176
2020-04-15,33,1.519,1.5714285714285714,0.196
2020-04-17,35,1.544,1.8333333333333333,0.263
2020-04-18,37,1.568,2.0,0.301
2020-04-19,40,1.602,2.1666666666666665,0.336
2020-04-20,41,1.613,2.1666666666666665,0.336
2020-04-21,42,1.623,1.8333333333333333,0.263
2020-04-22,43,1.633,1.6666666666666667,0.222
2020-04-23,44,1.643,1.5714285714285714,0.196
2020-04-24,45,1.653,1.4285714285714286,0.155
2020-04-26,47,1.672,1.1666666666666667,0.067
2020-05-08,48,1.681,1.0,0.0
2020-06-22,49,1.69,1.0,0.0
2020-07-20,50,1.699,1.0,0.0
2020-07-21,51,1.708,1.0,0.0
2020-07-22,52,1.716,1.0,0.0
2020-07-23,55,1.74,1.5,0.176
2020-07-24,56,1.748,1.4,0.146
2020-07-25,59,1.771,1.6666666666666667,0.222
2020-07-26,79,1.898,4.285714285714286,0.632
2020-07-27,118,2.072,9.714285714285714,0.987
2020-07-28,138,2.14,12.428571428571429,1.094
2020-07-29,162,2.21,15.714285714285714,1.196
2020-07-30,172,2.236,16.714285714285715,1.223
2020-07-31,200,2.301,20.571428571428573,1.313
2020-08-01,217,2.336,22.571428571428573,1.354
2020-08-02,237,2.375,22.571428571428573,1.354
2020-08-03,251,2.4,19.0,1.279
2020-08-04,288,2.459,21.428571428571427,1.331
2020-08-05,327,2.515,23.571428571428573,1.372
2020-08-06,338,2.529,23.714285714285715,1.375
2020-08-07,348,2.542,21.142857142857142,1.325
2020-08-08,355,2.55,19.714285714285715,1.295
2020-08-09,358,2.554,17.285714285714285,1.238
2020-08-10,360,2.556,15.571428571428571,1.192
2020-08-11,367,2.565,11.285714285714286,1.053
2020-08-12,377,2.576,7.142857142857143,0.854
2020-08-13,388,2.589,7.142857142857143,0.854
2020-08-14,396,2.598,6.857142857142857,0.836
2020-08-15,408,2.611,7.571428571428571,0.879
2020-08-16,410,2.613,7.428571428571429,0.871
2020-08-17,413,2.616,7.571428571428571,0.879
2020-08-18,421,2.624,7.714285714285714,0.887
2020-08-19,437,2.64,8.571428571428571,0.933
2020-08-20,448,2.651,8.571428571428571,0.933
2020-08-21,479,2.68,11.857142857142858,1.074
2020-08-22,484,2.685,10.857142857142858,1.036
2020-08-23,491,2.691,11.571428571428571,1.063
2020-08-24,493,2.693,11.428571428571429,1.058
2020-08-25,502,2.701,11.571428571428571,1.063
2020-08-26,505,2.703,9.714285714285714,0.987
2020-08-27,509,2.707,8.714285714285714,0.94
2020-08-28,517,2.713,5.428571428571429,0.735
2020-08-29,528,2.723,6.285714285714286,0.798
2020-08-30,531,2.725,5.714285714285714,0.757
2020-08-31,539,2.732,6.571428571428571,0.818
2020-09-01,546,2.737,6.285714285714286,0.798
2020-09-03,552,2.742,7.166666666666667,0.855
2020-09-04,556,2.745,6.5,0.813
2020-09-05,561,2.749,5.5,0.74
2020-09-06,564,2.751,5.5,0.74
2020-09-07,565,2.752,4.333333333333333,0.637
2020-09-08,568,2.754,3.6666666666666665,0.564
2020-09-09,573,2.758,3.857142857142857,0.586
2020-09-10,581,2.764,4.142857142857143,0.617
2020-09-11,584,2.766,4.0,0.602
