,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-04,1,0.0,1.0,0.0
2020-03-05,3,0.477,1.5,0.176
2020-03-22,4,0.602,1.0,0.0
2020-03-25,5,0.699,1.0,0.0
2020-03-26,6,0.778,1.0,0.0
2020-04-03,7,0.845,1.0,0.0
2020-04-04,8,0.903,1.0,0.0
2020-04-05,12,1.079,2.0,0.301
2020-04-06,13,1.114,1.75,0.243
2020-04-07,16,1.204,2.0,0.301
2020-04-08,17,1.23,1.8333333333333333,0.263
2020-04-10,18,1.255,1.8333333333333333,0.263
2020-04-12,22,1.342,2.0,0.301
2020-04-13,23,1.362,2.0,0.301
2020-04-14,24,1.38,1.6,0.204
2020-04-15,27,1.431,2.0,0.301
2020-04-16,28,1.447,1.8333333333333333,0.263
2020-04-20,29,1.462,1.5,0.176
2020-04-27,30,1.477,1.0,0.0
2020-05-01,32,1.505,1.5,0.176
2020-05-03,33,1.519,1.3333333333333333,0.125
2020-05-04,34,1.531,1.3333333333333333,0.125
2020-05-05,35,1.544,1.25,0.097
2020-07-04,36,1.556,1.0,0.0
2020-07-15,37,1.568,1.0,0.0
2020-07-16,40,1.602,2.0,0.301
2020-07-17,41,1.613,1.6666666666666667,0.222
2020-07-22,43,1.633,2.0,0.301
2020-07-23,45,1.653,1.6666666666666667,0.222
2020-07-26,48,1.681,2.3333333333333335,0.368
2020-07-27,49,1.69,2.0,0.301
2020-07-29,50,1.699,1.75,0.243
2020-07-31,52,1.716,1.75,0.243
2020-08-01,54,1.732,1.8,0.255
2020-08-03,55,1.74,1.5,0.176
2020-08-04,56,1.748,1.4,0.146
2020-08-05,57,1.756,1.4,0.146
2020-08-06,60,1.778,1.6666666666666667,0.222
2020-08-07,65,1.813,2.1666666666666665,0.336
2020-08-08,70,1.845,2.6666666666666665,0.426
2020-08-12,71,1.851,3.5,0.544
2020-08-13,73,1.863,3.25,0.512
2020-08-14,74,1.869,2.25,0.352
2020-08-18,76,1.881,1.5,0.176
2020-08-19,80,1.903,2.25,0.352
2020-08-20,90,1.954,4.25,0.628
2020-08-21,97,1.987,5.75,0.76
2020-08-22,101,2.004,5.4,0.732
2020-08-23,104,2.017,5.0,0.699
2020-08-24,109,2.037,5.0,0.699
2020-08-26,123,2.09,7.166666666666667,0.855
2020-08-27,130,2.114,6.666666666666667,0.824
2020-08-28,146,2.164,8.166666666666666,0.912
2020-08-29,153,2.185,8.666666666666666,0.938
2020-08-30,157,2.196,8.833333333333334,0.946
2020-08-31,160,2.204,8.5,0.929
2020-09-01,164,2.215,7.857142857142857,0.895
2020-09-02,166,2.22,6.142857142857143,0.788
2020-09-04,170,2.23,4.0,0.602
2020-09-05,173,2.238,3.3333333333333335,0.523
2020-09-08,178,2.25,3.5,0.544
2020-09-09,182,2.26,4.0,0.602
2020-09-10,184,2.265,3.6,0.556
2020-09-16,185,2.267,1.5,0.176
