,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-23,2,0.301,2.0,0.301
2020-03-25,6,0.778,3.0,0.477
2020-03-30,7,0.845,2.5,0.398
2020-04-03,9,0.954,1.5,0.176
2020-04-07,10,1.0,1.5,0.176
2020-04-09,12,1.079,1.6666666666666667,0.222
2020-04-10,15,1.176,2.0,0.301
2020-04-11,20,1.301,2.75,0.439
2020-04-27,21,1.322,1.0,0.0
2020-04-28,24,1.38,2.0,0.301
2020-05-07,25,1.398,1.0,0.0
2020-07-09,26,1.415,1.0,0.0
2020-07-11,27,1.431,1.0,0.0
2020-07-31,28,1.447,1.0,0.0
2020-08-27,30,1.477,2.0,0.301
2020-09-27,31,1.491,1.0,0.0
