,cumsum,log10_cumsum,rolling,log10_rolling
2020-01-30,1,0.0,1.0,0.0
2020-03-04,2,0.301,1.0,0.0
2020-03-10,3,0.477,1.0,0.0
2020-03-11,8,0.903,3.0,0.477
2020-03-14,9,0.954,2.3333333333333335,0.368
2020-03-18,10,1.0,1.0,0.0
2020-04-01,11,1.041,1.0,0.0
2020-04-02,12,1.079,1.0,0.0
2020-04-09,14,1.146,2.0,0.301
2020-04-11,16,1.204,2.0,0.301
2020-04-14,18,1.255,2.0,0.301
2020-04-15,20,1.301,2.0,0.301
2020-04-16,25,1.398,2.75,0.439
2020-04-17,31,1.491,3.4,0.531
2020-04-18,33,1.519,3.4,0.531
2020-04-19,34,1.531,3.0,0.477
2020-04-20,37,1.568,3.0,0.477
2020-04-21,38,1.58,2.857142857142857,0.456
2020-04-22,40,1.602,2.857142857142857,0.456
2020-04-23,41,1.613,2.2857142857142856,0.359
2020-04-24,42,1.623,1.5714285714285714,0.196
2020-06-02,43,1.633,1.0,0.0
2020-06-18,44,1.643,1.0,0.0
2020-07-09,45,1.653,1.0,0.0
2020-07-10,46,1.663,1.0,0.0
2020-07-11,48,1.681,1.3333333333333333,0.125
2020-07-15,50,1.699,1.5,0.176
2020-07-16,51,1.708,1.5,0.176
2020-07-18,52,1.716,1.3333333333333333,0.125
2020-07-19,53,1.724,1.25,0.097
2020-07-20,54,1.732,1.2,0.079
2020-07-22,56,1.748,1.2,0.079
2020-07-23,58,1.763,1.4,0.146
2020-07-24,59,1.771,1.3333333333333333,0.125
2020-07-25,64,1.806,2.0,0.301
2020-07-26,67,1.826,2.3333333333333335,0.368
2020-07-27,70,1.845,2.6666666666666665,0.426
2020-07-28,77,1.886,3.2857142857142856,0.517
2020-07-29,82,1.914,3.7142857142857144,0.57
2020-07-30,92,1.964,4.857142857142857,0.686
2020-07-31,105,2.021,6.571428571428571,0.818
2020-08-01,115,2.061,7.285714285714286,0.862
2020-08-02,134,2.127,9.571428571428571,0.981
2020-08-03,146,2.164,10.857142857142858,1.036
2020-08-04,171,2.233,13.428571428571429,1.128
2020-08-05,180,2.255,14.0,1.146
2020-08-06,203,2.307,15.857142857142858,1.2
2020-08-07,220,2.342,16.428571428571427,1.216
2020-08-08,230,2.362,16.428571428571427,1.216
2020-08-09,239,2.378,15.0,1.176
2020-08-10,243,2.386,13.857142857142858,1.142
2020-08-11,253,2.403,11.714285714285714,1.069
2020-08-12,259,2.413,11.285714285714286,1.053
2020-08-13,266,2.425,9.0,0.954
2020-08-14,272,2.435,7.428571428571429,0.871
2020-08-15,275,2.439,6.428571428571429,0.808
2020-08-16,277,2.442,5.428571428571429,0.735
2020-08-17,283,2.452,5.714285714285714,0.757
2020-08-18,313,2.496,8.571428571428571,0.933
2020-08-19,343,2.535,12.0,1.079
2020-08-20,369,2.567,14.714285714285714,1.168
2020-08-22,375,2.574,16.666666666666668,1.222
2020-08-23,380,2.58,17.166666666666668,1.235
2020-08-24,391,2.592,18.0,1.255
2020-08-26,392,2.593,9.8,0.991
2020-08-27,398,2.6,5.8,0.763
2020-08-28,403,2.605,5.666666666666667,0.753
2020-08-30,406,2.609,5.2,0.716
2020-08-31,418,2.621,5.4,0.732
2020-09-02,421,2.624,5.8,0.763
2020-09-03,426,2.629,5.6,0.748
2020-09-04,437,2.64,6.8,0.833
2020-09-05,462,2.665,9.833333333333334,0.993
2020-09-07,473,2.675,11.0,1.041
2020-09-08,481,2.682,10.5,1.021
2020-09-09,483,2.684,10.333333333333334,1.014
2020-09-10,488,2.688,10.333333333333334,1.014
2020-09-11,493,2.693,9.333333333333334,0.97
2020-09-12,495,2.695,5.5,0.74
2020-09-13,498,2.697,5.142857142857143,0.711
2020-09-14,501,2.7,4.0,0.602
2020-09-15,502,2.701,3.0,0.477
2020-09-16,504,2.702,3.0,0.477
2020-09-17,505,2.703,2.4285714285714284,0.385
2020-09-18,507,2.705,2.0,0.301
2020-09-19,508,2.706,1.8571428571428572,0.269
2020-09-20,509,2.707,1.5714285714285714,0.196
2020-09-21,512,2.709,1.5714285714285714,0.196
2020-09-22,517,2.713,2.142857142857143,0.331
2020-09-23,520,2.716,2.2857142857142856,0.359
2020-09-24,521,2.717,2.2857142857142856,0.359
2020-09-25,526,2.721,2.7142857142857144,0.434
2020-09-26,531,2.725,3.2857142857142856,0.517
2020-09-27,532,2.726,3.2857142857142856,0.517
2020-09-28,539,2.732,3.857142857142857,0.586
2020-09-29,540,2.732,3.2857142857142856,0.517
2020-09-30,546,2.737,3.7142857142857144,0.57
2020-10-01,559,2.747,5.428571428571429,0.735
2020-10-02,561,2.749,5.0,0.699
2020-10-03,563,2.751,4.571428571428571,0.66
2020-10-04,566,2.753,4.857142857142857,0.686
2020-10-06,570,2.756,5.0,0.699
2020-10-07,571,2.757,4.166666666666667,0.62
2020-10-10,573,2.758,2.5,0.398
2020-10-11,574,2.759,2.0,0.301
2020-10-12,578,2.762,2.4,0.38
2020-10-14,580,2.763,2.25,0.352
