,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-07,1,0.0,1.0,0.0
2020-03-14,2,0.301,1.0,0.0
2020-03-31,3,0.477,1.0,0.0
2020-04-01,5,0.699,1.5,0.176
2020-04-02,7,0.845,1.6666666666666667,0.222
2020-04-03,8,0.903,1.5,0.176
2020-04-04,13,1.114,2.2,0.342
2020-04-05,15,1.176,2.1666666666666665,0.336
2020-04-07,23,1.362,3.3333333333333335,0.523
2020-04-08,28,1.447,3.8333333333333335,0.584
2020-04-09,32,1.505,4.166666666666667,0.62
2020-04-10,35,1.544,4.5,0.653
2020-04-11,36,1.556,3.8333333333333335,0.584
2020-04-12,37,1.568,3.6666666666666665,0.564
2020-04-14,38,1.58,2.5,0.398
2020-04-15,39,1.591,1.8333333333333333,0.263
2020-04-16,48,1.681,2.6666666666666665,0.426
2020-04-17,50,1.699,2.5,0.398
2020-04-18,58,1.763,3.6666666666666665,0.564
2020-04-19,60,1.778,3.8333333333333335,0.584
2020-04-20,62,1.792,3.5714285714285716,0.553
2020-04-22,63,1.799,4.0,0.602
2020-04-24,64,1.806,2.8,0.447
2020-04-25,66,1.82,1.6,0.204
2020-04-26,67,1.826,1.4,0.146
2020-04-28,68,1.833,1.2,0.079
2020-04-29,70,1.845,1.4,0.146
2020-04-30,71,1.851,1.3333333333333333,0.125
2020-05-01,72,1.857,1.3333333333333333,0.125
2020-05-02,73,1.863,1.1666666666666667,0.067
2020-05-03,76,1.881,1.5,0.176
2020-05-05,77,1.886,1.5,0.176
2020-05-06,78,1.892,1.3333333333333333,0.125
2020-06-14,80,1.903,2.0,0.301
2020-06-16,81,1.908,1.5,0.176
2020-06-18,82,1.914,1.3333333333333333,0.125
2020-07-10,83,1.919,1.0,0.0
2020-07-14,84,1.924,1.0,0.0
2020-07-22,85,1.929,1.0,0.0
2020-07-23,86,1.934,1.0,0.0
2020-07-29,87,1.94,1.0,0.0
2020-07-31,89,1.949,1.5,0.176
2020-08-04,90,1.954,1.3333333333333333,0.125
2020-08-05,92,1.964,1.6666666666666667,0.222
2020-08-06,94,1.973,1.75,0.243
2020-08-07,96,1.982,1.75,0.243
2020-08-08,99,1.996,2.0,0.301
2020-08-12,101,2.004,2.25,0.352
2020-08-14,102,2.009,2.0,0.301
2020-08-15,104,2.017,1.6666666666666667,0.222
2020-08-17,105,2.021,1.5,0.176
2020-08-18,108,2.033,1.8,0.255
2020-08-19,112,2.049,2.2,0.342
2020-08-20,119,2.076,3.0,0.477
2020-08-21,121,2.083,3.1666666666666665,0.501
2020-08-22,123,2.09,3.1666666666666665,0.501
2020-08-23,124,2.093,2.857142857142857,0.456
2020-08-24,127,2.104,3.142857142857143,0.497
2020-08-25,133,2.124,3.5714285714285716,0.553
2020-08-26,138,2.14,3.7142857142857144,0.57
2020-08-27,145,2.161,3.7142857142857144,0.57
2020-08-28,150,2.176,4.142857142857143,0.617
2020-08-29,156,2.193,4.714285714285714,0.673
2020-08-30,157,2.196,4.714285714285714,0.673
2020-08-31,160,2.204,4.714285714285714,0.673
2020-09-01,166,2.22,4.714285714285714,0.673
2020-09-02,167,2.223,4.142857142857143,0.617
2020-09-03,171,2.233,3.7142857142857144,0.57
2020-09-04,172,2.236,3.142857142857143,0.497
2020-09-05,174,2.241,2.5714285714285716,0.41
2020-09-06,176,2.246,2.7142857142857144,0.434
2020-09-07,177,2.248,2.4285714285714284,0.385
2020-09-08,182,2.26,2.2857142857142856,0.359
2020-09-09,184,2.265,2.4285714285714284,0.385
2020-09-10,190,2.279,2.7142857142857144,0.434
2020-09-11,198,2.297,3.7142857142857144,0.57
2020-09-12,202,2.305,4.0,0.602
2020-09-13,206,2.314,4.285714285714286,0.632
2020-09-14,209,2.32,4.571428571428571,0.66
2020-09-15,212,2.326,4.285714285714286,0.632
2020-09-16,215,2.332,4.428571428571429,0.646
2020-09-17,216,2.334,3.7142857142857144,0.57
2020-09-19,219,2.34,2.8333333333333335,0.452
2020-09-20,223,2.348,2.8333333333333335,0.452
2020-09-21,224,2.35,2.5,0.398
2020-09-22,226,2.354,2.3333333333333335,0.368
2020-09-23,230,2.362,2.5,0.398
2020-09-24,240,2.38,4.0,0.602
