,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-05,1,0.0,1.0,0.0
2020-03-22,2,0.301,1.0,0.0
2020-03-27,3,0.477,1.0,0.0
2020-03-28,4,0.602,1.0,0.0
2020-03-30,5,0.699,1.0,0.0
2020-04-01,8,0.903,1.5,0.176
2020-04-02,9,0.954,1.4,0.146
2020-04-03,10,1.0,1.4,0.146
2020-04-04,12,1.079,1.6,0.204
2020-04-06,13,1.114,1.6,0.204
2020-04-07,14,1.146,1.5,0.176
2020-04-09,15,1.176,1.2,0.079
2020-04-14,16,1.204,1.0,0.0
2020-04-16,17,1.23,1.0,0.0
2020-04-17,18,1.255,1.0,0.0
2020-04-18,19,1.279,1.0,0.0
2020-04-24,21,1.322,1.5,0.176
2020-04-25,22,1.342,1.5,0.176
2020-04-28,23,1.362,1.3333333333333333,0.125
2020-05-08,24,1.38,1.0,0.0
2020-06-24,25,1.398,1.0,0.0
2020-07-01,27,1.431,2.0,0.301
2020-07-14,29,1.462,2.0,0.301
2020-07-15,31,1.491,2.0,0.301
2020-07-16,33,1.519,2.0,0.301
2020-07-17,35,1.544,2.0,0.301
2020-07-18,40,1.602,2.6,0.415
2020-07-20,43,1.633,2.6666666666666665,0.426
2020-07-22,44,1.643,2.6,0.415
2020-07-23,48,1.681,3.0,0.477
2020-07-24,58,1.763,4.6,0.663
2020-07-25,60,1.778,4.0,0.602
2020-07-26,63,1.799,3.8333333333333335,0.584
2020-07-27,64,1.806,3.5,0.544
2020-07-28,74,1.869,4.428571428571429,0.646
2020-07-29,75,1.875,4.428571428571429,0.646
2020-07-30,78,1.892,4.285714285714286,0.632
2020-07-31,84,1.924,3.7142857142857144,0.57
2020-08-01,87,1.94,3.857142857142857,0.586
2020-08-02,90,1.954,3.857142857142857,0.586
2020-08-03,95,1.978,4.428571428571429,0.646
2020-08-04,98,1.991,3.4285714285714284,0.535
2020-08-05,102,2.009,3.857142857142857,0.586
2020-08-06,106,2.025,4.0,0.602
2020-08-07,107,2.029,3.2857142857142856,0.517
2020-08-08,111,2.045,3.4285714285714284,0.535
2020-08-09,113,2.053,3.2857142857142856,0.517
2020-08-10,115,2.061,2.857142857142857,0.456
2020-08-11,117,2.068,2.7142857142857144,0.434
2020-08-12,119,2.076,2.4285714285714284,0.385
2020-08-13,123,2.09,2.4285714285714284,0.385
2020-08-14,125,2.097,2.5714285714285716,0.41
2020-08-15,126,2.1,2.142857142857143,0.331
2020-08-17,128,2.107,2.1666666666666665,0.336
2020-08-19,129,2.111,2.0,0.301
2020-08-20,131,2.117,1.6,0.204
2020-08-21,133,2.124,1.6,0.204
2020-08-22,138,2.14,2.4,0.38
2020-08-23,141,2.149,2.5,0.398
2020-08-24,142,2.152,2.3333333333333335,0.368
2020-08-25,143,2.155,2.142857142857143,0.331
2020-08-26,144,2.158,2.142857142857143,0.331
2020-08-27,146,2.164,2.142857142857143,0.331
2020-09-02,147,2.167,1.5,0.176
2020-09-17,148,2.17,1.0,0.0
2020-09-23,149,2.173,1.0,0.0
2020-09-24,150,2.176,1.0,0.0
2020-09-25,152,2.182,1.3333333333333333,0.125
2020-09-26,153,2.185,1.25,0.097
2020-09-27,154,2.188,1.2,0.079
2020-09-29,157,2.196,1.5,0.176
2020-10-02,158,2.199,1.5,0.176
2020-10-04,161,2.207,2.3333333333333335,0.368
2020-10-07,162,2.21,1.6666666666666667,0.222
2020-10-08,163,2.212,1.5,0.176
2020-10-12,164,2.215,1.0,0.0
2020-10-13,168,2.225,1.75,0.243
2020-10-15,170,2.23,2.3333333333333335,0.368
2020-10-16,172,2.236,2.25,0.352
2020-10-17,173,2.238,2.0,0.301
2020-10-20,186,2.27,4.5,0.653
2020-10-21,189,2.276,4.2,0.623
2020-10-22,190,2.279,4.0,0.602
2020-10-23,198,2.297,5.2,0.716
