,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-25,1,0.0,1.0,0.0
2020-03-30,3,0.477,2.0,0.301
2020-04-20,4,0.602,1.0,0.0
2020-06-26,5,0.699,1.0,0.0
2020-07-06,6,0.778,1.0,0.0
2020-07-07,8,0.903,1.5,0.176
2020-07-24,9,0.954,1.0,0.0
2020-07-25,10,1.0,1.0,0.0
2020-07-26,11,1.041,1.0,0.0
2020-07-28,13,1.114,1.25,0.097
2020-07-29,17,1.23,1.8,0.255
2020-07-30,19,1.279,1.8333333333333333,0.263
2020-07-31,20,1.301,1.8333333333333333,0.263
2020-08-01,22,1.342,2.0,0.301
2020-08-03,23,1.362,2.0,0.301
2020-08-04,29,1.462,2.6666666666666665,0.426
2020-08-05,47,1.672,5.0,0.699
2020-08-06,49,1.69,5.0,0.699
2020-08-07,50,1.699,5.0,0.699
2020-08-08,52,1.716,5.0,0.699
2020-08-09,54,1.732,4.571428571428571,0.66
2020-08-10,55,1.74,4.571428571428571,0.66
2020-08-11,57,1.756,4.0,0.602
2020-08-12,65,1.813,2.5714285714285716,0.41
2020-08-13,76,1.881,3.857142857142857,0.586
2020-08-14,81,1.908,4.428571428571429,0.646
2020-08-15,85,1.929,4.714285714285714,0.673
2020-08-16,86,1.934,4.571428571428571,0.66
2020-08-17,90,1.954,5.0,0.699
2020-08-18,91,1.959,4.857142857142857,0.686
2020-08-19,92,1.964,3.857142857142857,0.586
2020-08-20,99,1.996,3.2857142857142856,0.517
2020-08-22,101,2.004,2.6666666666666665,0.426
2020-08-23,104,2.017,3.0,0.477
2020-08-24,106,2.025,2.6666666666666665,0.426
2020-08-25,114,2.057,3.8333333333333335,0.584
2020-08-26,120,2.079,4.666666666666667,0.669
2020-08-27,123,2.09,4.0,0.602
2020-08-28,124,2.093,3.5714285714285716,0.553
2020-08-30,126,2.1,3.6666666666666665,0.564
2020-08-31,129,2.111,3.8333333333333335,0.584
2020-09-01,133,2.124,3.1666666666666665,0.501
2020-09-02,137,2.137,2.8333333333333335,0.452
2020-09-03,141,2.149,3.0,0.477
2020-09-07,142,2.152,3.25,0.512
2020-09-11,143,2.155,1.0,0.0
2020-09-29,144,2.158,1.0,0.0
2020-10-03,145,2.161,1.0,0.0
2020-10-16,153,2.185,8.0,0.903
2020-10-17,154,2.188,4.5,0.653
2020-10-18,155,2.19,3.3333333333333335,0.523
2020-10-19,158,2.199,3.25,0.512
2020-10-20,159,2.201,2.8,0.447
2020-10-21,160,2.204,2.5,0.398
