,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-26,1,0.0,1.0,0.0
2020-03-17,2,0.301,1.0,0.0
2020-03-22,4,0.602,1.5,0.176
2020-03-23,7,0.845,2.0,0.301
2020-03-24,10,1.0,2.6666666666666665,0.426
2020-03-25,11,1.041,2.25,0.352
2020-03-26,14,1.146,2.4,0.38
2020-03-27,16,1.204,2.3333333333333335,0.368
2020-03-28,18,1.255,2.2857142857142856,0.359
2020-03-29,19,1.279,2.142857142857143,0.331
2020-03-30,23,1.362,2.2857142857142856,0.359
2020-03-31,24,1.38,2.0,0.301
2020-04-01,29,1.462,2.5714285714285716,0.41
2020-04-02,35,1.544,3.0,0.477
2020-04-03,38,1.58,3.142857142857143,0.497
2020-04-04,45,1.653,3.857142857142857,0.586
2020-04-05,56,1.748,5.285714285714286,0.723
2020-04-06,57,1.756,4.857142857142857,0.686
2020-04-07,68,1.833,6.285714285714286,0.798
2020-04-08,76,1.881,6.714285714285714,0.827
2020-04-09,86,1.934,7.285714285714286,0.862
2020-04-10,97,1.987,8.428571428571429,0.926
2020-04-11,108,2.033,9.0,0.954
2020-04-12,111,2.045,7.857142857142857,0.895
2020-04-13,118,2.072,8.714285714285714,0.94
2020-04-14,127,2.104,8.428571428571429,0.926
2020-04-15,131,2.117,7.857142857142857,0.895
2020-04-16,135,2.13,7.0,0.845
2020-04-18,136,2.134,4.666666666666667,0.669
2020-04-19,138,2.14,4.5,0.653
2020-04-20,139,2.143,3.5,0.544
2020-04-21,144,2.158,2.8333333333333335,0.452
2020-04-22,146,2.164,2.5,0.398
2020-04-23,148,2.17,2.1666666666666665,0.336
2020-05-02,149,2.173,1.0,0.0
2020-05-30,150,2.176,1.0,0.0
2020-06-01,151,2.179,1.0,0.0
2020-06-08,152,2.182,1.0,0.0
2020-06-09,157,2.196,3.0,0.477
2020-06-14,159,2.201,2.6666666666666665,0.426
2020-06-15,160,2.204,2.6666666666666665,0.426
2020-06-17,161,2.207,1.3333333333333333,0.125
2020-06-20,162,2.21,1.25,0.097
2020-06-27,163,2.212,1.0,0.0
2020-07-01,164,2.215,1.0,0.0
2020-07-02,167,2.223,1.6666666666666667,0.222
2020-07-08,168,2.225,2.0,0.301
2020-07-09,169,2.228,1.0,0.0
2020-07-13,171,2.233,1.3333333333333333,0.125
2020-07-14,172,2.236,1.25,0.097
2020-07-15,173,2.238,1.25,0.097
2020-07-16,176,2.246,1.75,0.243
2020-07-17,180,2.255,2.2,0.342
2020-07-19,184,2.265,2.5,0.398
2020-07-20,191,2.281,3.3333333333333335,0.523
2020-07-21,206,2.314,5.666666666666667,0.753
2020-07-22,211,2.324,6.333333333333333,0.802
2020-07-23,221,2.344,7.5,0.875
2020-07-24,224,2.35,7.333333333333333,0.865
2020-07-25,233,2.367,7.571428571428571,0.879
2020-07-26,240,2.38,8.0,0.903
2020-07-27,256,2.408,9.285714285714286,0.968
2020-07-28,277,2.442,10.142857142857142,1.006
2020-07-29,302,2.48,13.0,1.114
2020-07-30,323,2.509,14.571428571428571,1.164
2020-07-31,341,2.533,16.714285714285715,1.223
2020-08-01,351,2.545,16.857142857142858,1.227
2020-08-02,361,2.558,17.285714285714285,1.238
2020-08-03,376,2.575,17.142857142857142,1.234
2020-08-04,392,2.593,16.428571428571427,1.216
2020-08-05,415,2.618,16.142857142857142,1.208
2020-08-06,432,2.635,15.571428571428571,1.192
2020-08-07,449,2.652,15.428571428571429,1.188
2020-08-08,460,2.663,15.571428571428571,1.192
2020-08-09,474,2.676,16.142857142857142,1.208
2020-08-10,480,2.681,14.857142857142858,1.172
2020-08-11,487,2.688,13.571428571428571,1.133
2020-08-12,493,2.693,11.142857142857142,1.047
2020-08-13,498,2.697,9.428571428571429,0.974
2020-08-14,508,2.706,8.428571428571429,0.926
2020-08-15,517,2.713,8.142857142857142,0.911
2020-08-16,521,2.717,6.714285714285714,0.827
2020-08-17,524,2.719,6.285714285714286,0.798
2020-08-18,528,2.723,5.857142857142857,0.768
2020-08-19,534,2.728,5.857142857142857,0.768
2020-08-20,538,2.731,5.714285714285714,0.757
2020-08-21,542,2.734,4.857142857142857,0.686
2020-08-23,546,2.737,4.166666666666667,0.62
2020-08-24,548,2.739,4.0,0.602
2020-08-25,551,2.741,3.8333333333333335,0.584
2020-08-26,553,2.743,3.1666666666666665,0.501
2020-08-28,554,2.744,2.4,0.38
2020-08-29,557,2.746,2.5,0.398
2020-08-31,559,2.747,2.2,0.342
2020-09-01,563,2.751,2.4,0.38
2020-09-02,564,2.751,2.2,0.342
2020-09-03,565,2.752,2.0,0.301
2020-09-08,567,2.754,1.3333333333333333,0.125
2020-09-09,570,2.756,2.0,0.301
2020-09-10,575,2.76,3.3333333333333335,0.523
2020-09-11,581,2.764,4.0,0.602
2020-09-12,592,2.772,5.4,0.732
2020-09-13,594,2.774,4.833333333333333,0.684
2020-09-14,595,2.775,4.285714285714286,0.632
2020-09-15,597,2.776,4.285714285714286,0.632
2020-09-18,599,2.777,3.6,0.556
2020-09-21,601,2.779,2.0,0.301
2020-09-22,603,2.78,2.0,0.301
2020-09-23,608,2.784,2.75,0.439
2020-09-24,612,2.787,3.0,0.477
2020-09-25,616,2.79,3.4,0.531
2020-09-26,617,2.79,3.0,0.477
2020-09-27,618,2.791,2.7142857142857144,0.434
2020-09-28,624,2.795,3.2857142857142856,0.517
2020-10-07,625,2.796,1.0,0.0
