,cumsum,log10_cumsum,rolling,log10_rolling
2020-07-29,2,0.301,2.0,0.301
2020-07-30,3,0.477,1.5,0.176
2020-07-31,4,0.602,1.3333333333333333,0.125
2020-08-05,5,0.699,1.0,0.0
2020-08-06,6,0.778,1.0,0.0
2020-08-07,7,0.845,1.0,0.0
2020-08-13,8,0.903,1.0,0.0
2020-08-16,9,0.954,1.0,0.0
2020-08-19,10,1.0,1.0,0.0
2020-08-20,11,1.041,1.0,0.0
2020-08-23,12,1.079,1.0,0.0
2020-08-25,13,1.114,1.0,0.0
2020-08-26,19,1.279,2.25,0.352
2020-10-03,20,1.301,1.0,0.0
2020-10-13,21,1.322,1.0,0.0
2020-10-23,22,1.342,1.0,0.0
