,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-22,1,0.0,1.0,0.0
2020-03-05,2,0.301,1.0,0.0
2020-03-18,3,0.477,1.0,0.0
2020-03-20,4,0.602,1.0,0.0
2020-03-24,5,0.699,1.0,0.0
2020-03-25,9,0.954,2.0,0.301
2020-03-26,10,1.0,1.75,0.243
2020-03-31,12,1.079,2.3333333333333335,0.368
2020-04-01,15,1.176,2.0,0.301
2020-04-06,17,1.23,2.3333333333333335,0.368
2020-04-07,20,1.301,2.6666666666666665,0.426
2020-04-08,24,1.38,3.0,0.477
2020-04-09,29,1.462,3.5,0.544
2020-04-10,30,1.477,3.0,0.477
2020-04-11,36,1.556,3.5,0.544
2020-04-13,37,1.568,3.3333333333333335,0.523
2020-04-14,39,1.591,3.1666666666666665,0.501
2020-04-15,41,1.613,2.8333333333333335,0.452
2020-04-16,43,1.633,2.3333333333333335,0.368
2020-04-17,45,1.653,2.5,0.398
2020-04-19,48,1.681,2.0,0.301
2020-04-20,51,1.708,2.3333333333333335,0.368
2020-04-21,53,1.724,2.3333333333333335,0.368
2020-04-22,54,1.732,2.1666666666666665,0.336
2020-04-25,55,1.74,2.0,0.301
2020-04-26,56,1.748,1.6,0.204
2020-05-06,57,1.756,1.0,0.0
2020-05-07,59,1.771,1.5,0.176
2020-05-08,61,1.785,1.6666666666666667,0.222
2020-05-12,62,1.792,1.5,0.176
2020-05-14,63,1.799,1.3333333333333333,0.125
2020-05-15,65,1.813,1.3333333333333333,0.125
2020-05-18,66,1.82,1.25,0.097
2020-05-19,67,1.826,1.25,0.097
2020-05-20,69,1.839,1.4,0.146
2020-05-25,70,1.845,1.3333333333333333,0.125
2020-06-21,71,1.851,1.0,0.0
2020-06-24,73,1.863,1.5,0.176
2020-06-27,76,1.881,2.0,0.301
2020-06-28,79,1.898,2.6666666666666665,0.426
2020-06-29,82,1.914,2.75,0.439
2020-06-30,86,1.934,3.0,0.477
2020-07-01,90,1.954,3.4,0.531
2020-07-02,92,1.964,3.1666666666666665,0.501
2020-07-03,94,1.973,3.0,0.477
2020-07-05,95,1.978,2.6666666666666665,0.426
2020-07-07,97,1.987,2.2,0.342
2020-07-08,99,1.996,1.8,0.255
2020-07-10,103,2.013,2.25,0.352
2020-07-11,104,2.017,2.0,0.301
2020-07-12,106,2.025,2.2,0.342
2020-07-13,109,2.037,2.3333333333333335,0.368
2020-07-14,116,2.064,3.1666666666666665,0.501
2020-07-15,118,2.072,3.1666666666666665,0.501
2020-07-16,123,2.09,3.4285714285714284,0.535
2020-07-17,130,2.114,3.857142857142857,0.586
2020-07-18,136,2.134,4.571428571428571,0.66
2020-07-19,145,2.161,5.571428571428571,0.746
2020-07-20,149,2.173,5.714285714285714,0.757
2020-07-21,153,2.185,5.285714285714286,0.723
2020-07-22,156,2.193,5.428571428571429,0.735
2020-07-23,161,2.207,5.428571428571429,0.735
2020-07-24,164,2.215,4.857142857142857,0.686
2020-07-25,172,2.236,5.142857142857143,0.711
2020-07-26,179,2.253,4.857142857142857,0.686
2020-07-27,180,2.255,4.428571428571429,0.646
2020-07-28,184,2.265,4.428571428571429,0.646
2020-07-29,199,2.299,6.142857142857143,0.788
2020-07-30,202,2.305,5.857142857142857,0.768
2020-07-31,206,2.314,6.0,0.778
2020-08-02,210,2.322,5.166666666666667,0.713
2020-08-03,213,2.328,5.5,0.74
2020-08-04,223,2.348,6.5,0.813
2020-08-05,234,2.369,5.833333333333333,0.766
2020-08-06,241,2.382,6.5,0.813
2020-08-07,249,2.396,7.166666666666667,0.855
2020-08-08,255,2.407,7.0,0.845
2020-08-09,257,2.41,6.714285714285714,0.827
2020-08-10,261,2.417,6.857142857142857,0.836
2020-08-11,263,2.42,5.714285714285714,0.757
2020-08-12,271,2.433,5.285714285714286,0.723
2020-08-13,274,2.438,4.714285714285714,0.673
2020-08-14,277,2.442,4.0,0.602
2020-08-15,278,2.444,3.2857142857142856,0.517
2020-08-16,285,2.455,4.0,0.602
2020-08-18,289,2.461,4.333333333333333,0.637
2020-08-19,291,2.464,3.3333333333333335,0.523
2020-08-20,293,2.467,3.1666666666666665,0.501
2020-08-21,295,2.47,3.0,0.477
2020-08-23,296,2.471,2.2,0.342
2020-08-24,297,2.473,2.0,0.301
2020-08-25,300,2.477,1.8333333333333333,0.263
2020-08-26,303,2.481,2.0,0.301
2020-08-27,305,2.484,2.0,0.301
2020-08-28,310,2.491,2.5,0.398
2020-08-29,311,2.493,2.2857142857142856,0.359
2020-09-01,314,2.497,2.8,0.447
2020-09-02,315,2.498,2.4,0.38
2020-09-03,316,2.5,2.2,0.342
2020-09-04,317,2.501,1.4,0.146
2020-09-06,318,2.502,1.4,0.146
2020-09-07,322,2.508,1.8333333333333333,0.263
2020-09-08,324,2.511,1.6666666666666667,0.222
2020-09-09,327,2.515,2.0,0.301
2020-09-10,331,2.52,2.5,0.398
2020-09-11,337,2.528,3.3333333333333335,0.523
2020-09-12,349,2.543,4.571428571428571,0.66
2020-09-13,350,2.544,4.571428571428571,0.66
2020-09-14,371,2.569,7.0,0.845
2020-09-15,380,2.58,8.0,0.903
2020-09-17,386,2.587,9.166666666666666,0.962
2020-09-18,387,2.588,8.333333333333334,0.921
2020-09-19,396,2.598,7.833333333333333,0.894
2020-09-20,398,2.6,8.0,0.903
2020-09-21,411,2.614,6.666666666666667,0.824
2020-09-29,413,2.616,2.0,0.301
2020-09-30,415,2.618,2.0,0.301
2020-10-01,416,2.619,1.6666666666666667,0.222
2020-10-02,417,2.62,1.5,0.176
2020-10-03,418,2.621,1.4,0.146
2020-10-04,420,2.623,1.5,0.176
2020-10-05,422,2.625,1.5714285714285714,0.196
2020-10-06,425,2.628,1.7142857142857142,0.234
2020-10-07,426,2.629,1.5714285714285714,0.196
2020-10-08,427,2.63,1.5714285714285714,0.196
2020-10-09,429,2.632,1.7142857142857142,0.234
2020-10-13,431,2.634,1.5,0.176
2020-10-14,437,2.64,2.75,0.439
2020-10-15,438,2.641,2.75,0.439
2020-10-16,444,2.647,3.75,0.574
2020-10-17,450,2.653,4.2,0.623
2020-10-18,451,2.654,3.6666666666666665,0.564
2020-10-19,452,2.655,3.2857142857142856,0.517
2020-10-20,457,2.66,3.7142857142857144,0.57
2020-10-21,458,2.661,3.0,0.477
2020-10-23,463,2.666,3.1666666666666665,0.501
