,cumsum,log10_cumsum,rolling,log10_rolling
2020-04-01,1,0.0,1.0,0.0
2020-04-02,2,0.301,1.0,0.0
2020-04-08,3,0.477,1.0,0.0
2020-04-17,5,0.699,2.0,0.301
2020-04-18,6,0.778,1.5,0.176
2020-04-19,7,0.845,1.3333333333333333,0.125
2020-04-20,9,0.954,1.5,0.176
2020-07-01,10,1.0,1.0,0.0
2020-07-02,19,1.279,5.0,0.699
2020-07-03,50,1.699,13.666666666666666,1.136
2020-07-04,84,1.924,18.75,1.273
2020-07-05,96,1.982,17.4,1.241
2020-07-06,108,2.033,16.5,1.217
2020-07-07,118,2.072,15.571428571428571,1.192
2020-07-08,121,2.083,15.857142857142858,1.2
2020-07-09,130,2.114,15.857142857142858,1.2
2020-07-10,135,2.13,12.142857142857142,1.084
2020-07-11,141,2.149,8.142857142857142,0.911
2020-07-12,147,2.167,7.285714285714286,0.862
2020-07-13,149,2.173,5.857142857142857,0.768
2020-07-14,155,2.19,5.285714285714286,0.723
2020-07-15,157,2.196,5.142857142857143,0.711
2020-07-16,160,2.204,4.285714285714286,0.632
2020-07-17,161,2.207,3.7142857142857144,0.57
2020-07-18,163,2.212,3.142857142857143,0.497
2020-07-19,168,2.225,3.0,0.477
2020-07-20,170,2.23,3.0,0.477
2020-07-21,171,2.233,2.2857142857142856,0.359
2020-07-22,188,2.274,4.428571428571429,0.646
2020-07-23,202,2.305,6.0,0.778
2020-07-24,208,2.318,6.714285714285714,0.827
2020-07-25,213,2.328,7.142857142857143,0.854
2020-07-26,216,2.334,6.857142857142857,0.836
2020-07-27,226,2.354,8.0,0.903
2020-07-28,228,2.358,8.142857142857142,0.911
2020-07-29,232,2.365,6.285714285714286,0.798
2020-07-30,249,2.396,6.714285714285714,0.827
2020-07-31,252,2.401,6.285714285714286,0.798
2020-08-01,253,2.403,5.714285714285714,0.757
2020-08-03,255,2.407,4.833333333333333,0.684
2020-08-04,261,2.417,5.5,0.74
2020-08-05,266,2.425,5.666666666666667,0.753
2020-08-06,271,2.433,3.6666666666666665,0.564
2020-08-07,273,2.436,3.5,0.544
2020-08-09,274,2.438,3.5,0.544
2020-08-13,277,2.442,2.0,0.301
2020-08-14,295,2.47,7.333333333333333,0.865
2020-08-15,321,2.507,12.0,1.079
2020-08-17,327,2.515,13.25,1.122
2020-08-18,334,2.524,12.0,1.079
2020-08-19,336,2.526,10.333333333333334,1.014
2020-08-20,339,2.53,10.333333333333334,1.014
2020-08-22,340,2.531,3.8,0.58
2020-08-23,341,2.533,3.3333333333333335,0.523
2020-08-24,345,2.538,3.0,0.477
2020-08-25,347,2.54,2.1666666666666665,0.336
2020-08-26,348,2.542,2.0,0.301
2020-08-27,351,2.545,2.0,0.301
2020-08-28,359,2.555,2.857142857142857,0.456
2020-08-29,361,2.558,3.0,0.477
2020-08-31,363,2.56,3.0,0.477
2020-09-02,365,2.562,3.4,0.531
2020-09-03,369,2.567,3.6,0.556
2020-09-04,370,2.568,2.2,0.342
2020-09-05,371,2.569,2.0,0.301
2020-09-08,372,2.571,1.8,0.255
2020-09-14,374,2.573,1.5,0.176
2020-09-15,377,2.576,2.5,0.398
2020-09-18,378,2.577,2.0,0.301
2020-09-20,379,2.579,1.75,0.243
2020-09-21,388,2.589,3.5,0.544
2020-09-22,390,2.591,3.25,0.512
2020-09-23,393,2.594,3.2,0.505
2020-09-24,401,2.603,4.0,0.602
2020-09-25,405,2.607,4.5,0.653
2020-09-26,411,2.614,4.714285714285714,0.673
2020-09-27,413,2.616,4.857142857142857,0.686
2020-09-28,416,2.619,4.0,0.602
2020-09-29,418,2.621,4.0,0.602
2020-09-30,422,2.625,4.142857142857143,0.617
2020-10-01,424,2.627,3.2857142857142856,0.517
2020-10-02,426,2.629,3.0,0.477
2020-10-03,429,2.632,2.5714285714285716,0.41
2020-10-04,433,2.636,2.857142857142857,0.456
2020-10-05,440,2.643,3.4285714285714284,0.535
2020-10-06,441,2.644,3.2857142857142856,0.517
2020-10-07,448,2.651,3.7142857142857144,0.57
2020-10-09,450,2.653,4.0,0.602
2020-10-10,455,2.658,4.333333333333333,0.637
2020-10-11,457,2.66,4.0,0.602
2020-10-13,460,2.663,3.8,0.58
2020-10-14,463,2.666,3.0,0.477
2020-10-15,464,2.667,2.6666666666666665,0.426
2020-10-28,469,2.671,5.0,0.699
2020-10-29,470,2.672,3.0,0.477
2020-10-30,471,2.673,2.3333333333333335,0.368
2020-10-31,475,2.677,2.75,0.439
2020-11-01,476,2.678,2.4,0.38
2020-11-02,482,2.683,3.0,0.477
2020-11-03,489,2.689,3.5714285714285716,0.553
2020-11-04,499,2.698,4.285714285714286,0.632
2020-11-05,516,2.713,6.571428571428571,0.818
2020-11-06,525,2.72,7.714285714285714,0.887
2020-11-07,534,2.728,8.428571428571429,0.926
2020-11-08,537,2.73,8.714285714285714,0.94
2020-11-09,543,2.735,8.714285714285714,0.94
2020-11-10,547,2.738,8.285714285714286,0.918
