,cumsum,log10_cumsum,rolling,log10_rolling
2020-02-28,1,0.0,1.0,0.0
2020-03-01,2,0.301,1.0,0.0
2020-03-02,3,0.477,1.0,0.0
2020-03-04,7,0.845,1.75,0.243
2020-03-06,8,0.903,1.75,0.243
2020-03-07,9,0.954,1.6,0.204
2020-03-08,11,1.041,1.8,0.255
2020-03-27,12,1.079,1.0,0.0
2020-03-28,13,1.114,1.0,0.0
2020-03-29,14,1.146,1.0,0.0
2020-03-30,16,1.204,1.25,0.097
2020-04-01,20,1.301,1.8,0.255
2020-04-02,22,1.342,1.8333333333333333,0.263
2020-04-04,32,1.505,3.8,0.58
2020-04-05,33,1.519,3.8,0.58
2020-04-06,37,1.568,4.2,0.623
2020-04-07,38,1.58,3.6666666666666665,0.564
2020-04-09,48,1.681,5.2,0.716
2020-04-10,54,1.732,5.333333333333333,0.727
2020-04-11,59,1.771,4.5,0.653
2020-04-14,60,1.778,5.5,0.74
2020-04-15,61,1.785,4.6,0.663
2020-04-17,63,1.799,2.25,0.352
2020-04-19,67,1.826,2.0,0.301
2020-04-20,68,1.833,1.8,0.255
2020-04-22,69,1.839,2.0,0.301
2020-04-23,70,1.845,1.8,0.255
2020-04-25,72,1.857,1.8,0.255
2020-04-28,73,1.863,1.25,0.097
2020-06-07,74,1.869,1.0,0.0
2020-07-12,75,1.875,1.0,0.0
2020-07-21,76,1.881,1.0,0.0
2020-07-23,77,1.886,1.0,0.0
2020-07-26,78,1.892,1.0,0.0
2020-07-27,79,1.898,1.0,0.0
2020-08-01,80,1.903,1.0,0.0
2020-08-03,81,1.908,1.0,0.0
2020-08-06,82,1.914,1.0,0.0
2020-08-14,84,1.924,2.0,0.301
2020-08-15,98,1.991,8.0,0.903
2020-08-16,100,2.0,6.0,0.778
2020-08-18,101,2.004,4.75,0.677
2020-08-19,102,2.009,4.0,0.602
2020-08-21,104,2.017,4.0,0.602
2020-08-22,106,2.025,1.6,0.204
2020-08-25,116,2.064,3.75,0.574
2020-08-28,121,2.083,5.666666666666667,0.753
2020-08-29,122,2.086,5.333333333333333,0.727
2020-09-01,126,2.1,3.3333333333333335,0.523
2020-09-02,127,2.104,2.75,0.439
2020-09-04,128,2.107,1.75,0.243
2020-09-05,129,2.111,1.75,0.243
2020-09-07,131,2.117,1.8,0.255
2020-09-11,134,2.127,2.0,0.301
2020-09-18,135,2.13,1.0,0.0
2020-10-10,136,2.134,1.0,0.0
2020-10-15,137,2.137,1.0,0.0
2020-10-24,138,2.14,1.0,0.0
2020-11-20,140,2.146,2.0,0.301
2020-11-22,142,2.152,2.0,0.301
