,cumsum,log10_cumsum,rolling,log10_rolling
2020-03-14,1,0.0,1.0,0.0
2020-03-25,2,0.301,1.0,0.0
2020-03-31,3,0.477,1.0,0.0
2020-04-01,5,0.699,1.5,0.176
2020-04-02,7,0.845,1.6666666666666667,0.222
2020-04-03,9,0.954,1.75,0.243
2020-04-04,10,1.0,1.6,0.204
2020-04-05,11,1.041,1.5,0.176
2020-04-07,12,1.079,1.5,0.176
2020-04-10,13,1.114,1.0,0.0
2020-04-17,14,1.146,1.0,0.0
2020-04-22,47,1.672,17.0,1.23
2020-04-23,61,1.785,16.0,1.204
2020-04-24,105,2.021,30.333333333333332,1.482
2020-04-25,162,2.21,37.0,1.568
2020-07-02,169,2.228,7.0,0.845
2020-07-03,177,2.248,7.5,0.875
2020-07-04,178,2.25,5.333333333333333,0.727
2020-07-08,179,2.253,4.25,0.628
2020-07-10,180,2.255,1.0,0.0
2020-07-11,182,2.26,1.3333333333333333,0.125
2020-07-12,188,2.274,2.5,0.398
2020-07-13,190,2.279,2.4,0.38
2020-07-14,191,2.281,2.1666666666666665,0.336
2020-07-15,192,2.283,2.1666666666666665,0.336
2020-07-16,193,2.286,2.0,0.301
2020-07-17,198,2.297,2.5714285714285716,0.41
2020-07-18,200,2.301,2.5714285714285716,0.41
2020-07-21,203,2.307,2.4,0.38
2020-07-23,204,2.31,2.75,0.439
2020-07-25,205,2.312,1.6666666666666667,0.222
2020-07-26,206,2.314,1.5,0.176
2020-07-27,211,2.324,2.2,0.342
2020-07-28,214,2.33,2.2,0.342
2020-07-29,217,2.336,2.3333333333333335,0.368
2020-07-31,234,2.369,5.0,0.699
2020-08-01,259,2.413,9.0,0.954
2020-08-02,264,2.422,9.666666666666666,0.985
2020-08-03,282,2.45,11.833333333333334,1.073
2020-08-04,287,2.458,12.166666666666666,1.085
2020-08-05,291,2.464,12.333333333333334,1.091
2020-08-06,294,2.468,11.0,1.041
2020-08-07,305,2.484,10.142857142857142,1.006
2020-08-08,312,2.494,7.571428571428571,0.879
2020-08-09,313,2.496,7.0,0.845
2020-08-10,314,2.497,4.571428571428571,0.66
2020-08-12,315,2.498,4.0,0.602
2020-08-13,320,2.505,4.333333333333333,0.637
2020-08-14,327,2.515,3.6666666666666665,0.564
2020-08-15,328,2.516,2.6666666666666665,0.426
2020-08-17,331,2.52,3.4,0.531
2020-08-19,333,2.522,3.6,0.556
2020-08-20,335,2.525,3.0,0.477
2020-08-21,339,2.53,2.4,0.38
2020-08-22,343,2.535,3.0,0.477
2020-08-23,347,2.54,3.1666666666666665,0.501
2020-08-24,351,2.545,3.3333333333333335,0.523
2020-08-25,354,2.549,3.2857142857142856,0.517
2020-08-26,361,2.558,4.0,0.602
2020-08-27,364,2.561,4.142857142857143,0.617
2020-08-28,367,2.565,4.0,0.602
2020-08-29,371,2.569,4.0,0.602
2020-08-30,373,2.572,3.7142857142857144,0.57
2020-08-31,374,2.573,3.2857142857142856,0.517
2020-09-02,376,2.575,2.5,0.398
2020-09-04,377,2.576,2.0,0.301
2020-09-13,378,2.577,1.0,0.0
2020-09-21,379,2.579,1.0,0.0
2020-09-27,383,2.583,2.5,0.398
2020-09-30,385,2.585,3.0,0.477
2020-10-07,386,2.587,1.0,0.0
2020-10-08,388,2.589,1.5,0.176
2020-10-16,389,2.59,1.0,0.0
2020-10-22,390,2.591,1.0,0.0
2020-10-23,391,2.592,1.0,0.0
2020-10-30,392,2.593,1.0,0.0
2020-11-04,393,2.594,1.0,0.0
2020-11-05,395,2.597,1.3333333333333333,0.125
